"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
18-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","13","181599","180595[18]","99.45","924[1]","80","2997","8849","3736739"
"2","Faridabad","0","99918","99195","99.28","716","7","3273","7130","2623106"
"3","Hisar","0","53996","52860","97.90","1136","0","789","3123","1379724"
"4","Sonepat","0","47139","46885","99.46","254","0","1118","3779","1473120"
"5","Karnal","0","40040","39486","98.62","552","2","2526","4801","1523532"
"6","Panipat","0","31153","30512","97.94","638","3","2435","4812","1178643"
"7","Panchkula","1","30789","30402[4]","98.74","379","8","439","1823","773932"
"8","Ambala","0","30150","29641","98.31","509","0","1368","8391","1518814"
"9","Sirsa","0","29283","28774","98.26","508","1","1899","5773","1132917"
"10","Rohtak","0","25915","25359","97.85","534","5","1167","2429","1041385"
"11","Yamunanagar","0","24636","24221","98.32","414","1","462","2571","1212481"
"12","Bhiwani","0","22409","21757","97.09","652","0","658","4304","1141248"
"13","Kurukshetra","0","22151","21792[1]","98.38","357","2","849","2996","896087"
"14","Mahindergarh","0","21689","21534","99.29","155","0","916","3223","891894"
"15","Jind","0","21209","20676","97.49","533","0","1291","2422","1016672"
"16","Rewari","0","20329","20108[1]","98.91","221","0","1025","3229","990674"
"17","Jhajjar","0","18849","18515","98.23","328","0","641","2886","1044616"
"18","Fatehabad","0","17877","17394","97.30","481","2","390","1248","804836"
"19","Kaithal","0","11246","10898","96.91","346","2","2732","6194","890562"
"20","Palwal","0","11026","10873","98.61","153","0","1275","2723","887065"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","273","1335","648390"
"22","Nuh","0","5014","4891","97.55","123","0","15814","2480","511478"
"Total","","14","771495","761307[24]","98.68","10052[1]","113","44337","86521","27317915"
