"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19616","0","267"
"2","Chengalpattu","235366","232627","81","2658"
"3","Chennai","750853","741538","247","9068"
"4","Coimbatore","329889","327193","79","2617"
"5","Cuddalore","74244","73337","12","895"
"6","Dharmapuri","36191","35892","16","283"
"7","Dindigul","37476","36806","5","665"
"8","Erode","132664","131913","17","734"
"9","Kallakurichi","36521","36301","5","215"
"10","Kancheepuram","94372","93040","30","1302"
"11","Kanyakumari","86205","85112","8","1085"
"12","Karur","29752","29380","0","372"
"13","Krishnagiri","59627","59242","15","370"
"14","Madurai","91028","89788","4","1236"
"15","Mayiladuthurai","26496","26166","0","330"
"16","Nagapattinam","25440","25062","3","375"
"17","Namakkal","67998","67456","8","534"
"18","Nilgiris","42109","41859","24","226"
"19","Perambalur","14461","14211","1","249"
"20","Pudukottai","34463","34032","5","426"
"21","Ramanathapuram","24674","24297","9","368"
"22","Ranipet","53912","53125","0","787"
"23","Salem","127356","125586","8","1762"
"24","Sivagangai","23819","23593","7","219"
"25","Tenkasi","32744","32250","4","490"
"26","Thanjavur","92128","91068","21","1039"
"27","Theni","50599","50062","4","533"
"28","Thirupathur","35732","35096","3","633"
"29","Thiruvallur","147430","145467","24","1939"
"30","Thiruvannamalai","66808","66113","10","685"
"31","Thiruvarur","48009","47533","4","472"
"32","Thoothukudi","64950","64496","6","448"
"33","Tirunelveli","62761","62307","9","445"
"34","Tiruppur","129916","128850","14","1052"
"35","Trichy","94933","93765","7","1161"
"36","Vellore","57282","56095","24","1163"
"37","Villupuram","54580","54214","0","366"
"38","Virudhunagar","56827","56261","12","554"
"39","Airport Surveillance 
(International)","1246","1241","4","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,52,276","34,13,521","730","38,025"
