"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","1999","3778","35043"
"Kollam","1656","2919","23158"
"Pathanamthitta","972","1098","9750"
"Alappuzha","1025","2869","14233"
"Kottayam","1749","3837","25589"
"Idukki","1091","1458","13495"
"Ernakulam","3012","9691","35640"
"Thrissur","1532","5283","20184"
"Palakkad","858","2539","9660"
"Malappuram","1234","3068","14673"
"Kozhikode","1477","2827","13386"
"Wayanad","638","1579","6972"
"Kannur","950","1670","8691"
"Kasaragod","227","670","2506"
"Total","18420","43286","232980"
