"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
18-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","11","181941","180916[9]","99.44","926","99","3962","17236","4093620"
"2","Faridabad","2","100020","99271[12]","99.25","717","32","2051","8629","2930256"
"3","Hisar","0","54002","52865","97.89","1137","0","1469","6838","1575616"
"4","Sonepat","0","47145","46891","99.46","254","0","1113","4235","1650390"
"5","Karnal","5","40059","39494[2]","98.59","554","11","779","5113","1704379"
"6","Panipat","0","31158","30517","97.94","638","3","1562","5694","1398779"
"7","Panchkula","4","30894","30481[2]","98.66","381","32","305","1549","838139"
"8","Ambala","0","30156","29645","98.31","509","2","859","8608","1701086"
"9","Sirsa","0","29300","28788","98.25","508","4","1573","4406","1324708"
"10","Rohtak","1","25923","25367[1]","97.86","534","5","1238","4053","1182556"
"11","Yamunanagar","0","24660","24239","98.29","414","7","442","4073","1347753"
"12","Bhiwani","0","22411","21758","97.09","652","1","521","5545","1337298"
"13","Kurukshetra","0","22161","21803[1]","98.38","357","1","811","3460","1026817"
"14","Mahindergarh","0","21689","21534","99.29","155","0","352","2388","994605"
"15","Jind","0","21210","20677","97.49","533","0","3305","6987","1183340"
"16","Rewari","0","20330","20108","98.91","221","1","782","5622","1165143"
"17","Jhajjar","0","18850","18516","98.23","328","0","537","2949","1165081"
"18","Fatehabad","0","17880","17398","97.30","482","0","362","2788","890351"
"19","Kaithal","0","11251","10901","96.89","346","4","2115","7821","1078738"
"20","Palwal","0","11031","10877","98.60","153","1","1275","2899","1066561"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","207","758","694540"
"22","Nuh","0","5014","4891","97.55","123","0","1981","3406","784070"
"Haryana","","23","772164","761877[27]","98.67","10061","203","27601","115057","31133826"
