,District,CumulativeConfirmedforDistrict,CumulativeRecoveredforDistrict,CumulativeDeceasedforDistrict,CumulativeTestedforDistrict,DeltaTestedforDistrict,CumulativeConfirmedforState,CumulativeRecoveredforState,CumulativeDeceasedforState,CumulativeTestedforState,DeltaConfirmedforState,DeltaRecoveredforState,DeltaDeceasedforState,DeltaTestedforState,DeltaConfirmedforDistrict,DeltaRecoveredforDistrict,DeltaDeceasedforDistrict,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated1ForState,deltaVaccinated2ForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,Date,State/UTCode
0,Andaman and Nicobar Islands,7650,7516,129,592748.0,1172.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,2,1,0,725055524,315742841,1924328,3212075,293638,195671,135,1645,2021-10-27,TT
1,Andhra Pradesh,2064854,2045713,14364,29365385.0,39545.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,567,437,8,725055524,315742841,1924328,3212075,32411373,19446510,213776,304859,2021-10-27,TT
2,Arunachal Pradesh,55120,54725,280,1183303.0,862.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,6,28,0,725055524,315742841,1924328,3212075,770265,523814,515,3899,2021-10-27,TT
3,Assam,609506,599681,5987,24573704.0,37836.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,244,391,6,725055524,315742841,1924328,3212075,20010686,7615537,33443,96211,2021-10-27,TT
4,Bihar,726073,716371,9661,49654538.0,206552.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,5,4,0,725055524,315742841,1924328,3212075,48785382,16520058,47268,81576,2021-10-27,TT
5,Chandigarh,65331,64482,820,786778.0,1814.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,5,3,0,725055524,315742841,1924328,3212075,924247,535861,616,3275,2021-10-27,TT
6,Chhattisgarh,1005926,992088,13575,13630678.0,22605.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,28,12,2,725055524,315742841,1924328,3212075,14657085,7043595,61045,96567,2021-10-27,TT
7,Delhi,1439709,1414270,25091,29189445.0,59909.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,38,13,0,725055524,315742841,1924328,3212075,12971655,7291815,22296,38959,2021-10-27,TT
8,Dadra and Nagar Haveli and Daman and Diu,10681,10642,4,72410.0,0.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,0,0,0,725055524,315742841,1924328,3212075,659859,365184,574,2460,2021-10-27,TT
9,Goa,177969,174152,3363,1458499.0,3190.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,23,51,1,725055524,315742841,1924328,3212075,1257226,882838,903,5010,2021-10-27,TT
