,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
1,2021-10-27,AP,Anantapur,,,,157823,1093,156679,,,,,2062340,14365,2043232,
2,2021-10-27,AP,Chittoor,,,,246728,1945,243872,,,,,2062340,14365,2043232,
3,2021-10-27,AP,East Godavari,,,,293544,1290,291316,,,,,2062340,14365,2043232,
4,2021-10-27,AP,Guntur,,,,177953,1237,176336,,,,,2062340,14365,2043232,
5,2021-10-27,AP,Y.S.R. Kadapa,,,,115593,644,114844,,,,,2062340,14365,2043232,
6,2021-10-27,AP,Krishna,,,,119215,1427,116986,,,,,2062340,14365,2043232,
7,2021-10-27,AP,Kurnool,,,,124126,853,123253,,,,,2062340,14365,2043232,
8,2021-10-27,AP,S.P.S. Nellore,,,,146313,1051,144846,,,,,2062340,14365,2043232,
9,2021-10-27,AP,Prakasam,,,,138462,1124,136870,,,,,2062340,14365,2043232,
10,2021-10-27,AP,Srikakulam,,,,123037,786,122086,,,,,2062340,14365,2043232,
11,2021-10-27,AP,Visakhapatnam,,,,157641,1127,156386,,,,,2062340,14365,2043232,
12,2021-10-27,AP,Vizianagaram,,,,82939,671,82208,,,,,2062340,14365,2043232,
13,2021-10-27,AP,West Godavari,,,,178966,1117,177550,,,,,2062340,14365,2043232,
