Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Gir Somnath,0,0,0,895,709,1282,0,0,0,0,0,0,0,1217477,2021-12-08 10:34:49.014595,,,8570,67,8499,375637,841068,355911,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,1196979.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Jamnagar,0,0,0,1711,1324,5038,0,0,0,0,0,0,0,2159130,2021-12-08 10:34:49.014595,,,34973,478,34491,877221,1107946,633372,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,1741318.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Junagadh,0,0,0,1597,380,10204,0,0,0,0,0,0,0,2742291,2021-12-08 10:34:49.014595,,,20500,272,20225,804314,1315161,693894,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,2009055.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Kutch,0,0,0,1236,1345,6598,0,0,0,0,0,0,0,2090313,2021-12-08 10:34:49.014595,,,12627,145,12473,820804,1408348,651417,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,2059765.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Kheda,0,0,1,1259,1529,8157,0,0,0,0,0,0,0,2298934,2021-12-08 10:34:49.014595,,,10439,48,10391,627103,1448562,850209,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,2298771.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Mahisagar,0,0,0,1021,14,1532,0,0,0,0,0,0,0,994624,2021-12-08 10:34:49.014595,,,8194,72,8122,382234,815560,448432,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,1263992.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Mehsana,0,0,0,2471,1394,6037,0,0,0,0,0,0,0,2027727,2021-12-08 10:34:49.014595,,,24419,177,24242,680296,1402663,847643,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,2250306.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Morbi,0,0,0,849,970,2148,0,0,0,0,0,0,0,960329,2021-12-08 10:34:49.014595,,,6502,87,6415,373099,667428,295447,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,962875.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Narmada,0,0,0,227,119,1736,0,0,0,0,0,0,0,590379,2021-12-08 10:34:49.014595,,,5955,15,5940,272077,413019,271575,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,684594.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Navsari,0,0,4,1086,257,2656,0,0,0,0,0,0,0,1330711,2021-12-08 10:34:49.014595,,,7214,24,7173,439379,947620,628557,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,1576177.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Panchmahal,0,0,0,0,439,4385,0,0,0,0,0,0,0,2388267,2021-12-08 10:34:49.014595,,,11770,70,11700,551411,1102163,602572,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,1704735.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Patan,0,0,0,1153,418,4759,0,0,0,0,0,0,0,1342746,2021-12-08 10:34:49.014595,,,11624,129,11495,464316,848446,513268,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,1361714.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Porbandar,0,0,0,428,186,1619,0,0,0,0,0,0,0,586062,2021-12-08 10:34:49.014595,,,3486,19,3467,244855,418767,248222,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,666989.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Rajkot,3,0,0,3184,2149,7479,0,0,0,0,0,0,0,3157676,2021-12-08 10:34:49.014595,,,57972,725,57236,2057099,2221636,1230221,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,3451857.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Sabarkantha,0,0,0,871,695,3437,0,0,0,0,0,0,0,2427346,2021-12-08 10:34:49.014595,,,9316,157,9159,488656,998173,563689,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,1561862.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Surat,4,0,7,8054,5059,14936,0,0,0,0,0,0,0,4996391,2021-12-08 10:34:49.014595,,,143855,1955,141872,6423696,4764036,2469814,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,7233850.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Surendranagar,0,0,0,1368,3421,11192,0,0,0,0,0,0,0,1755873,2021-12-08 10:34:49.014595,,,8121,136,7985,520803,1106988,674273,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,1781261.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Tapi,0,0,0,383,618,3508,0,0,0,0,0,0,0,806489,2021-12-08 10:34:49.014595,,,4441,24,4417,250316,526206,291976,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,818182.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Vadodara,5,0,1,3405,1755,28807,0,0,0,0,0,0,0,3639775,2021-12-08 10:34:49.014595,,,78133,788,77329,1929667,2606136,1849397,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,4455533.0,0
2021-10-27,GJ,17,0,15,50082,45314,197760,0,0,0,0,0,0,0,Valsad,2,0,1,1486,1044,4612,0,0,0,0,0,0,0,1703068,2021-12-08 10:34:49.014595,,,6392,53,6292,501635,1228706,686276,2021-12-08 10:34:49.013927,67936000,2021-12-08 10:34:49.014937,,,826319,10085,816061,30740538,44565485,25028744,69594229.0,243074.0,1914982.0,0
