"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","557","110333","366","107855","11","2290","188"
"2","SAS Nagar","989","96678","708","95241","4","1152","285"
"3","Jalandhar","256","78526","198","76898","1","1579","49"
"4","Patiala","380","62411","298","60870","0","1457","84"
"5","Amritsar","156","59553","118","57826","2","1684","43"
"6","Bathinda","144","51012","92","49870","0","1088","54"
"7","Hoshiarpur","99","40939","92","39824","0","1096","19"
"8","Gurdaspur","44","26983","33","26106","1","865","12"
"9","Pathankot","88","24616","79","24112","0","495","9"
"10","Fazilka","66","23462","52","22891","0","545","26"
"11","Muktsar","20","22574","22","22032","0","539","3"
"12","Kapurthala","68","22103","53","21505","1","583","15"
"13","Ropar","67","18005","56","17539","0","455","11"
"14","Ferozepur","47","17946","34","17394","1","538","14"
"15","Mansa","29","17257","9","16845","1","393","19"
"16","Faridkot","89","16872","57","16498","0","338","36"
"17","Sangrur","18","14327","7","13580","0","735","12"
"18","SBS Nagar","31","13433","33","13021","0","409","3"
"19","FG Sahib","69","11903","42","11522","0","354","27"
"20","Moga","16","11003","15","10746","1","255","2"
"21","Tarn Taran","19","10916","12","10517","0","394","5"
"22","Barnala","11","7508","13","7156","0","349","3"
"23","Malerkotla","10","3978","9","3800","0","176","2"
"","Total","3273","762338","2398","743648","23","17769","921"
