"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40681","0","40311","3","0","367","0"
"2","Ballari","1","115514","0","113726","23","0","1763","2"
"3","Belagavi","0","100133","0","99111","19","0","1001","2"
"4","Bengaluru Rural","0","79275","0","78359","10","0","906","0"
"5","Bengaluru Urban","51","1781472","53","1762931","1581","1","16959","1"
"6","Bidar","0","29806","0","29382","0","0","420","4"
"7","Chamarajanagara","1","43617","0","43080","2","0","524","11"
"8","Chikkaballapura","0","55626","0","55157","9","0","459","1"
"9","Chikkamagaluru","0","57243","1","56836","1","0","406","0"
"10","Chitradurga","4","46338","2","46060","39","0","239","0"
"11","Dakshina 
Kannada","1","135481","1","133623","8","0","1840","10"
"12","Davanagere","0","57534","0","56911","0","0","623","0"
"13","Dharwada","0","84069","1","82677","1","0","1384","7"
"14","Gadag","0","30583","0","30248","0","0","335","0"
"15","Hassana","0","143859","0","142547","3","0","1307","2"
"16","Haveri","0","26839","0","26170","0","0","669","0"
"17","Kalaburagi","1","76602","1","75712","10","0","880","0"
"18","Kodagu","0","49264","0","48910","1","0","352","1"
"19","Kolara","0","62987","0","62321","2","0","664","0"
"20","Koppala","0","41281","0","40743","0","0","538","0"
"21","Mandya","1","101483","0","100769","3","0","711","0"
"22","Mysuru","1","229453","3","226888","7","0","2558","0"
"23","Raichuru","0","45447","0","45083","0","0","364","0"
"24","Ramanagara","2","29801","0","29444","10","0","347","0"
"25","Shivamogga","0","83323","0","82176","18","0","1128","1"
"26","Tumakuru","1","159839","0","158609","13","0","1217","0"
"27","Udupi","0","95603","0","95048","9","0","546","0"
"28","Uttara Kannada","0","71163","0","70353","1","0","809","0"
"29","Vijayapura","0","40997","0","40475","3","0","519","0"
"30","Yadagiri","0","29962","0","29749","1","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","64","3945311","62","3903442","1777","1","40050","42"
"*
       
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today.  
 
Date: 27-03-2022 
Page 5 of 7","","","","","","","","",""
