"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","375","1064056","0","19566"
"2","Thane","7","118111","0","2289"
"3","TMC","26","190039","0","2163"
"4","Navi Mumbai","23","167173","0","2090"
"5","KDMC","3","176239","0","2974"
"6","Ulhasnagar MC","0","26527","0","680"
"7","Bhivandi Nijampur MC","1","13151","0","496"
"8","Mira Bhayandar MC","11","76704","0","1227"
"9","Palghar","0","64683","0","1244"
"10","Vasai Virar MC","7","99014","0","2163"
"11","Raigad","2","138372","0","3463"
"12","Panvel MC","13","106214","0","1482"
"","Mumbai circle total","468","2240283","0","39837"
"13","Nashik","1","183760","0","3813"
"14","Nashik MC","2","278125","0","4752"
