,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,0,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Angul,158,1,43,,1521,496,0,2,715.0,2.0,228.0,,11893.0,21381.0,0,1271703,,,,44866,400,43834,,876399,656912,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
1,1,1,1,1,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Balangir,238,0,132,,4469,1261,0,12,1622.0,1.0,219.0,,39428.0,24463.0,0,1648574,,,,25414,128,23548,,1189081,764794,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
2,2,2,2,2,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Balasore,433,0,73,,3738,2961,0,72,2265.0,0.0,253.0,,35001.0,48454.0,0,2317419,,,,43947,301,41028,,1708161,1192806,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
3,3,3,3,3,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Bargarh,166,0,75,,2018,473,0,22,833.0,0.0,145.0,,22461.0,20779.0,0,1478833,,,,32347,341,30980,,1079892,692826,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
4,4,4,4,4,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Bhadrak,118,0,16,,2099,1741,0,11,708.0,1.0,35.0,,20539.0,31212.0,0,1506522,,,,27438,149,26500,,1165746,994176,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
5,5,5,5,5,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Boudh,85,0,0,,968,899,0,3,265.0,0.0,0.0,,7561.0,6448.0,0,439917,,,,12953,112,12549,,304686,218858,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
6,6,6,6,6,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Cuttack,786,0,502,,4929,11716,0,190,5509.0,1.0,1960.0,,32160.0,55439.0,0,2618708,,,,102787,861,96879,,1773558,1210300,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
7,7,7,7,7,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Deogarh,44,0,19,,674,561,0,16,177.0,0.0,144.0,,4709.0,6400.0,0,312164,,,,7010,50,6778,,252886,158315,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
8,8,8,8,8,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Dhenkanal,70,0,38,,2962,2757,0,19,456.0,0.0,89.0,,14257.0,32448.0,0,1192948,,,,20557,246,19894,,853473,611292,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
9,9,9,9,9,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Gajapati,109,0,46,,1032,703,0,5,642.0,0.0,123.0,,12185.0,5834.0,0,575880,,,,10496,83,9805,,379517,248055,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
10,10,10,10,10,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Ganjam,92,0,46,,10244,3868,0,20,765.0,1.0,180.0,,74754.0,22805.0,0,3520151,,,,35009,484,33697,,2643108,2212170,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
11,11,11,11,11,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Jagatsinghpur,207,0,66,,941,1003,0,33,1041.0,2.0,184.0,,14397.0,33324.0,0,1136604,,,,29359,321,28000,,817384,613102,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
12,12,12,12,12,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Jajpur,195,0,78,,3949,6993,0,39,1260.0,0.0,255.0,,37650.0,47703.0,0,1826275,,,,45855,174,44269,,1424597,1016912,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
13,13,13,13,13,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Jharsuguda,225,0,297,,1596,2133,0,65,1396.0,0.0,1182.0,,8717.0,10633.0,0,579499,,,,26153,179,25082,,472419,364873,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
14,14,14,14,14,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Kalahandi,163,0,84,,4003,952,0,4,965.0,0.0,176.0,,25932.0,30933.0,0,1573054,,,,25418,212,24301,,1081595,765480,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
15,15,15,15,15,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Kandhamal,56,0,17,,1330,1931,0,0,245.0,0.0,48.0,,11794.0,12611.0,0,731952,,,,11824,83,11513,,552377,343908,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
16,16,16,16,16,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Kendrapara,90,0,116,,1230,1462,0,17,434.0,1.0,139.0,,16158.0,21534.0,0,1439891,,,,25587,255,24970,,1052424,737417,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
17,17,17,17,17,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Kendujhar,105,0,104,,2683,3895,0,39,641.0,0.0,414.0,,18216.0,33139.0,0,1802777,,,,21963,174,21277,,1286108,986427,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
18,18,18,18,18,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Khordha,2934,2,1223,,3928,2201,0,820,20970.0,2.0,3810.0,,29881.0,24550.0,0,2246341,,,,209236,1610,184075,,2273220,1921957,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
19,19,19,19,19,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Koraput,162,0,177,,1733,1425,0,8,1088.0,0.0,318.0,,20822.0,15832.0,0,1376934,,,,20498,80,19421,,1108544,787239,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
20,20,20,20,20,2022-01-17,OR,10489,3,5965,70117,77171,80926,24898,1976,68703.0,16.0,19001.0,522598.0,631836.0,726424.0,254058.0,Malkangiri,55,0,10,,486,1787,0,2,223.0,0.0,10.0,,7822.0,16576.0,0,612727,,,,11932,46,11650,,453438,338493,0,0,2022-01-17 23:55:42.518138,43671000,2022-01-17 23:55:42.519037,,,1144401,8484,1066032,26701571,31226336,22996227,254058,0,0.0,0
