District,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
Gujarat,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Gujarat,-162,-3,-159,0,0,0,0,57777.0,26.0,26610.0,,627808.0,491985.0,67936000,,,,926078,10156,852312,,50343149,44140051,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Haryana,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Haryana,9204,12,5631,0,0,0,0,56215.0,39.0,23839.0,,443588.0,496177.0,28672000,,,,856102,10116,791149,,22071563,15945170,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Himachal Pradesh,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Himachal Pradesh,2446,-11,1272,0,0,0,0,12526.0,-4.0,4531.0,,48042.0,16602.0,7300000,,,,245811,3880,229746,,6255433,5532764,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Jammu and Kashmir,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Jammu and Kashmir,2827,5,777,0,0,0,0,16842.0,28.0,2910.0,,211427.0,220733.0,13203000,,,,362200,4572,339700,,10242282,9608899,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Jharkhand,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Jharkhand,0,0,0,0,0,0,0,23255.0,31.0,17496.0,,766192.0,393936.0,37403000,,,,405309,5203,368359,,20409877,12290701,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Karnataka,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Karnataka,27156,14,7827,0,0,0,0,183587.0,71.0,26367.0,,628619.0,884298.0,65798000,,,,3247243,38445,2991472,,50715934,40760926,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Kerala,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Kerala,0,0,0,0,0,0,0,87492.0,1075.0,20284.0,,444401.0,371488.0,35125000,,,,5378831,50832,5223430,,27464477,22061581,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Ladakh,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Ladakh,0,0,0,0,0,0,0,698.0,0.0,275.0,,2035.0,607.0,293000,,,,23384,222,22342,,224543,176836,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Lakshadweep,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Lakshadweep,0,0,0,0,0,0,0,74.0,0.0,1.0,,572.0,201.0,68000,,,,10494,51,10369,,59228,53420,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Madhya Pradesh,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Madhya Pradesh,0,0,0,0,0,0,0,27280.0,7.0,5763.0,,1208024.0,263156.0,82232000,,,,830923,10545,790269,,56497891,50866107,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Maharashtra,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Maharashtra,0,0,0,0,0,0,0,258296.0,161.0,198797.0,,1336758.0,1988693.0,122153000,,,,7211810,141808,6800900,,84964185,58416743,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Manipur,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Manipur,235,0,60,0,0,0,0,1265.0,4.0,242.0,,21240.0,11203.0,3103000,,,,127493,2015,124021,,1366309,1021746,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Meghalaya,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Meghalaya,174,0,95,0,0,0,0,1228.0,3.0,466.0,,30773.0,15633.0,3224000,,,,86532,1490,83835,,1287373,915566,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Mizoram,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Mizoram,0,0,0,0,0,0,0,4920.0,8.0,2400.0,,20062.0,7761.0,1192000,,,,152478,570,143486,,792599,600658,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Nagaland,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Nagaland,0,0,0,0,0,0,0,614.0,0.0,261.0,,36566.0,11757.0,2150000,,,,32916,703,31756,,802098,594214,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Odisha,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Odisha,10489,3,5965,0,0,0,0,68703.0,16.0,19001.0,,631836.0,726424.0,43671000,,,,1144401,8484,1066032,,31226336,22996227,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Puducherry,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Puducherry,907,3,147,0,0,0,0,7406.0,8.0,561.0,,15730.0,7968.0,1504000,,,,138617,1890,128168,,909547,590831,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Punjab,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Punjab,0,0,0,0,0,0,0,38520.0,86.0,16563.0,,548450.0,931717.0,29859000,,,,663867,16769,605848,,18177036,11035742,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Rajasthan,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Rajasthan,9236,5,5894,0,0,0,0,64623.0,36.0,22933.0,,1233053.0,1236146.0,77264000,,,,1046895,9010,971143,,51074518,37765469,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Sikkim,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Sikkim,0,0,0,0,0,0,0,1881.0,3.0,203.0,,8433.0,2473.0,664000,,,,34712,413,32310,,551458,487669,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Tamil Nadu,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Tamil Nadu,23443,20,13551,0,0,0,0,149090.0,143.0,59366.0,,562339.0,581455.0,75695000,,,,2963366,37009,2774009,,53423083,36503245,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Telangana,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Telangana,0,0,0,0,0,0,0,13354.0,14.0,6287.0,,365259.0,853956.0,37220000,,,,709209,4057,683104,,29522996,21066820,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Tripura,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Tripura,-3,-3,-65,0,0,0,0,5058.0,6.0,717.0,,16342.0,8952.0,3992000,,,,91573,837,85069,,2704013,2153141,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Uttar Pradesh,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Uttar Pradesh,0,0,0,0,0,0,0,88251.0,31.0,18692.0,,9317193.0,8651595.0,224979000,,,,1834112,22963,1707675,,145213428,88611312,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
Uttarakhand,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,Uttarakhand,3295,4,2318,0,0,0,0,21072.0,15.0,7870.0,,102089.0,129799.0,11141000,,,,373249,7444,347609,,8347685,6741609,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
West Bengal,2022-01-17,TT,111244,97,66430,0,0,0,,1615707.0,2335.0,733760.0,10607002.0,22640780.0,24771858.0,West Bengal,9385,33,11034,0,0,0,0,132752.0,204.0,63119.0,,1258388.0,2658191.0,96906000,,,,1907084,20121,1728340,,68283725,46259654,2022-01-17 23:55:25.003463,1332900000,,https://www.icmr.gov.in/,,37491497,486548,35303891,703762282,914436421,661091340
