,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,0,2022-01-17,MZ,1280,3,830,0,2601,1660,1539,1500,6200.0,11.0,3230.0,,20062.0,7761.0,7663.0,Aizawl,,,,,906,774,0,,,,,,5480.0,3488.0,0,404054,,,,,,,,337211,271116,0,0,2022-01-18 12:43:13.699310,1192000,,,,153758,573,144316,,792599,600658,7663,0,0.0,0
1,1,1,1,1,2022-01-17,MZ,1280,3,830,0,2601,1660,1539,1500,6200.0,11.0,3230.0,,20062.0,7761.0,7663.0,Champhai,,,,,258,142,0,,,,,,3613.0,458.0,0,125370,,,,,,,,81180,62366,0,0,2022-01-18 12:43:13.699310,1192000,,,,153758,573,144316,,792599,600658,7663,0,0.0,0
2,2,2,2,2,2022-01-17,MZ,1280,3,830,0,2601,1660,1539,1500,6200.0,11.0,3230.0,,20062.0,7761.0,7663.0,Hnahthial,,,,,0,0,0,,,,,,0.0,0.0,0,0,,,,,,,,0,0,0,0,2022-01-18 12:43:13.699310,1192000,,,,153758,573,144316,,792599,600658,7663,0,0.0,0
3,3,3,3,3,2022-01-17,MZ,1280,3,830,0,2601,1660,1539,1500,6200.0,11.0,3230.0,,20062.0,7761.0,7663.0,Khawzawl,,,,,0,0,0,,,,,,0.0,0.0,0,0,,,,,,,,0,0,0,0,2022-01-18 12:43:13.699310,1192000,,,,153758,573,144316,,792599,600658,7663,0,0.0,0
4,4,4,4,4,2022-01-17,MZ,1280,3,830,0,2601,1660,1539,1500,6200.0,11.0,3230.0,,20062.0,7761.0,7663.0,Kolasib,,,,,157,198,0,,,,,,1729.0,1213.0,0,83054,,,,,,,,55898,41451,0,0,2022-01-18 12:43:13.699310,1192000,,,,153758,573,144316,,792599,600658,7663,0,0.0,0
5,5,5,5,5,2022-01-17,MZ,1280,3,830,0,2601,1660,1539,1500,6200.0,11.0,3230.0,,20062.0,7761.0,7663.0,Lawngtlai,,,,,233,78,0,,,,,,1441.0,646.0,0,117444,,,,,,,,75946,38983,0,0,2022-01-18 12:43:13.699310,1192000,,,,153758,573,144316,,792599,600658,7663,0,0.0,0
6,6,6,6,6,2022-01-17,MZ,1280,3,830,0,2601,1660,1539,1500,6200.0,11.0,3230.0,,20062.0,7761.0,7663.0,Lunglei,,,,,811,132,0,,,,,,3910.0,413.0,0,154094,,,,,,,,107344,86095,0,0,2022-01-18 12:43:13.699310,1192000,,,,153758,573,144316,,792599,600658,7663,0,0.0,0
7,7,7,7,7,2022-01-17,MZ,1280,3,830,0,2601,1660,1539,1500,6200.0,11.0,3230.0,,20062.0,7761.0,7663.0,Mamit,,,,,34,33,0,,,,,,1161.0,444.0,0,85757,,,,,,,,50513,36146,0,0,2022-01-18 12:43:13.699310,1192000,,,,153758,573,144316,,792599,600658,7663,0,0.0,0
8,8,8,8,8,2022-01-17,MZ,1280,3,830,0,2601,1660,1539,1500,6200.0,11.0,3230.0,,20062.0,7761.0,7663.0,Saiha,,,,,190,280,0,,,,,,1638.0,712.0,0,56366,,,,,,,,38590,25734,0,0,2022-01-18 12:43:13.699310,1192000,,,,153758,573,144316,,792599,600658,7663,0,0.0,0
9,9,9,9,9,2022-01-17,MZ,1280,3,830,0,2601,1660,1539,1500,6200.0,11.0,3230.0,,20062.0,7761.0,7663.0,Saitual,,,,,0,0,0,,,,,,0.0,0.0,0,0,,,,,,,,0,0,0,0,2022-01-18 12:43:13.699310,1192000,,,,153758,573,144316,,792599,600658,7663,0,0.0,0
