,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,0,2022-01-17,TG,2447,3,2295,0,70533,192039,19101,2127,15801.0,17.0,8582.0,,365259.0,853956.0,147208.0,Adilabad,,,,,1277,7530,0,,,,,,6579.0,37312.0,0,708952,,,,,,,,561230,395441,0,0,2022-01-18 12:43:13.699310,37220000,,,,711656,4060,685399,,29522996,21066820,147208,0,0.0,0
1,1,1,1,1,2022-01-17,TG,2447,3,2295,0,70533,192039,19101,2127,15801.0,17.0,8582.0,,365259.0,853956.0,147208.0,Bhadradri Kothagudem,,,,,2643,7838,0,,,,,,12142.0,48511.0,0,1304811,,,,,,,,862564,626942,0,0,2022-01-18 12:43:13.699310,37220000,,,,711656,4060,685399,,29522996,21066820,147208,0,0.0,0
2,2,2,2,2,2022-01-17,TG,2447,3,2295,0,70533,192039,19101,2127,15801.0,17.0,8582.0,,365259.0,853956.0,147208.0,Foreign Evacuees,,,,,0,0,0,,,,,,0.0,0.0,0,0,,,,,,,,0,0,0,0,2022-01-18 12:43:13.699310,37220000,,,,711656,4060,685399,,29522996,21066820,147208,0,0.0,0
3,3,3,3,3,2022-01-17,TG,2447,3,2295,0,70533,192039,19101,2127,15801.0,17.0,8582.0,,365259.0,853956.0,147208.0,Hyderabad,,,,,6345,8047,0,,,,,,33979.0,35929.0,0,3441992,,,,,,,,3681065,2643043,0,0,2022-01-18 12:43:13.699310,37220000,,,,711656,4060,685399,,29522996,21066820,147208,0,0.0,0
4,4,4,4,4,2022-01-17,TG,2447,3,2295,0,70533,192039,19101,2127,15801.0,17.0,8582.0,,365259.0,853956.0,147208.0,Jagtial,,,,,1548,5631,0,,,,,,8023.0,21237.0,0,983414,,,,,,,,787977,555474,0,0,2022-01-18 12:43:13.699310,37220000,,,,711656,4060,685399,,29522996,21066820,147208,0,0.0,0
5,5,5,5,5,2022-01-17,TG,2447,3,2295,0,70533,192039,19101,2127,15801.0,17.0,8582.0,,365259.0,853956.0,147208.0,Jangaon,,,,,705,3006,0,,,,,,4285.0,11903.0,0,582457,,,,,,,,435056,339409,0,0,2022-01-18 12:43:13.699310,37220000,,,,711656,4060,685399,,29522996,21066820,147208,0,0.0,0
6,6,6,6,6,2022-01-17,TG,2447,3,2295,0,70533,192039,19101,2127,15801.0,17.0,8582.0,,365259.0,853956.0,147208.0,Jayashankar Bhupalapally,,,,,579,1121,0,,,,,,2477.0,4808.0,0,712257,,,,,,,,340137,262525,0,0,2022-01-18 12:43:13.699310,37220000,,,,711656,4060,685399,,29522996,21066820,147208,0,0.0,0
7,7,7,7,7,2022-01-17,TG,2447,3,2295,0,70533,192039,19101,2127,15801.0,17.0,8582.0,,365259.0,853956.0,147208.0,Jogulamba Gadwal,,,,,2131,3867,0,,,,,,9986.0,20805.0,0,664971,,,,,,,,479424,304110,0,0,2022-01-18 12:43:13.699310,37220000,,,,711656,4060,685399,,29522996,21066820,147208,0,0.0,0
8,8,8,8,8,2022-01-17,TG,2447,3,2295,0,70533,192039,19101,2127,15801.0,17.0,8582.0,,365259.0,853956.0,147208.0,Kamareddy,,,,,2939,4611,0,,,,,,16436.0,19523.0,0,972625,,,,,,,,673737,483848,0,0,2022-01-18 12:43:13.699310,37220000,,,,711656,4060,685399,,29522996,21066820,147208,0,0.0,0
9,9,9,9,9,2022-01-17,TG,2447,3,2295,0,70533,192039,19101,2127,15801.0,17.0,8582.0,,365259.0,853956.0,147208.0,Karimnagar,,,,,1776,3229,0,,,,,,8920.0,13730.0,0,1016063,,,,,,,,847676,762263,0,0,2022-01-18 12:43:13.699310,37220000,,,,711656,4060,685399,,29522996,21066820,147208,0,0.0,0
