"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","0","0","0","2050","17","0","0"
"East Jaintia Hills","0","0","0","2627","38","0","0"
"East Khasi Hills","4","10","0","47209","1075","57","1"
"Eastern West Khasi Hills","0","0","0","142","8","1","0"
"North Garo Hills","0","0","0","1881","9","0","0"
"Ri-Bhoi","3","0","0","10360","99","8","2"
"South Garo Hills","0","0","0","1343","13","0","0"
"South West Garo Hills","0","0","0","2095","20","1","0"
"South West Khasi Hills","0","0","0","2701","20","0","0"
"West Garo Hills","6","0","0","10784","80","43","1"
"West Jaintia Hills","1","0","0","7194","139","1","0"
"West Khasi Hills","0","0","0","5655","76","0","0"
"Total","14","10","0","94041","1594","111","4"
