"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","6","0","0","0","1918","1897","15"
"East Jaintia Hills","2","0","0","0","2448","2414","32"
"East Khasi Hills","57","3","1","0","41905","40842","1006"
"North Garo Hills","1","0","0","0","1686","1677","8"
"Ri-Bhoi","9","2","0","0","9742","9643","90"
"South Garo Hills","0","0","0","0","1218","1206","12"
"South West Garo Hills","0","0","0","0","1873","1855","18"
"South West Khasi Hills","1","0","0","0","2550","2532","17"
"West Garo Hills","4","0","0","0","9089","9012","73"
"West Jaintia Hills","0","0","1","0","6824","6688","136"
"West Khasi Hills","0","0","0","0","5520","5446","74"
"Total","80","5","2","0","84773","83212","1481"
