"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","6","35195","0","34854","8","0","333","0"
"2","Ballari","34","97923","0","96061","175","0","1687","0"
"3","Belagavi","31","80256","8","79129","179","0","948","0"
"4","Bengaluru Rural","19","62212","4","61244","76","0","892","0"
"5","Bengaluru Urban","3605","1272050","264","1240874","14762","2","16413","1"
"6","Bidar","3","24360","0","23944","8","0","404","4"
"7","Chamarajanagara","2","33128","2","32603","10","0","504","11"
"8","Chikkaballapura","8","44024","1","43571","20","0","432","1"
"9","Chikkamagaluru","12","51490","5","51045","47","0","398","0"
"10","Chitradurga","6","36793","2","36555","26","0","212","0"
"11","Dakshina 
Kannada","111","116731","11","114587","441","0","1696","7"
"12","Davanagere","3","51044","0","50414","22","0","608","0"
"13","Dharwada","26","61615","5","60162","126","0","1325","2"
"14","Gadag","5","26083","0","25755","9","0","319","0"
"15","Hassana","20","112403","1","111003","135","0","1263","2"
"16","Haveri","0","21961","0","21318","0","0","643","0"
"17","Kalaburagi","28","62062","1","61153","86","0","823","0"
"18","Kodagu","20","37837","0","37340","158","0","338","1"
"19","Kolara","24","47211","12","46496","72","0","643","0"
"20","Koppala","0","35211","0","34672","11","0","528","0"
"21","Mandya","36","74062","1","73272","133","0","657","0"
"22","Mysuru","59","180445","11","177802","215","0","2428","0"
"23","Raichuru","0","39997","0","39659","5","0","333","0"
"24","Ramanagara","4","24235","1","23898","14","0","323","0"
"25","Shivamogga","22","69775","3","68575","110","0","1090","0"
"26","Tumakuru","43","121421","8","120169","108","0","1144","0"
"27","Udupi","88","77423","18","76572","360","0","491","0"
"28","Uttara Kannada","17","56705","1","55875","52","0","778","0"
"29","Vijayapura","14","36333","3","35795","43","0","495","0"
"30","Yadagiri","0","27551","0","27342","3","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","4246","3017572","362","2961772","17414","2","38357","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
Date: 05-01-2022  
 Page 5 of 8","","","","","","","","",""
