"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4548","4143","4","4","397"
"Bageshwar","2095","2003","1","0","91"
"Chamoli","3222","3104","9","3","106"
"Champawat","1914","1891","2","1","20"
"Dehradun","33647","32888","215","177","367"
"Haridwar","13224","12922","43","25","234"
"Nainital","11422","11318","21","29","54"
"Pauri Garhwal","5296","4306","3","18","969"
"Pithoragarh","2564","2420","3","4","137"
"Rudraprayag","2716","2585","0","2","129"
"Tehri Garhwal","2394","2033","2","5","354"
"U.S. Nagar","8843","8536","10","5","292"
"Uttarkashi","1690","1507","5","5","173"
"Total","93575","89656","318","278","3323"
