"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","1477","6972","20950"
"Kollam","1061","1279","17152"
"Pathanamthitta","649","627","6746"
"Alappuzha","640","1990","9266"
"Kottayam","1044","3700","18260"
"Idukki","597","2162","9870"
"Ernakulam","1509","4577","25868"
"Thrissur","844","2432","13961"
"Palakkad","462","1554","6088"
"Malappuram","557","1999","10036"
"Kozhikode","991","2060","10071"
"Wayanad","447","938","4817"
"Kannur","599","1442","5424"
"Kasaragod","259","272","1821"
"Total","11136","32004","160330"
