"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3037","113513","2974","110463","37","3016","34"
"2","SAS Nagar","5261","100950","5176","99709","20","1168","73"
"3","Jalandhar","2771","81036","2684","79022","38","1978","36"
"4","Patiala","2094","64174","2048","62431","11","1722","21"
"5","Amritsar","1367","60922","1354","59062","6","1846","14"
"6","Bathinda","1538","52405","1516","50959","4","1427","19"
"7","Hoshiarpur","1276","42385","1226","40958","18","1418","9"
"8","Gurdaspur","341","27268","323","26396","7","871","1"
"9","Pathankot","510","25012","465","24480","4","521","11"
"10","Fazilka","479","23911","466","23269","0","621","21"
"11","Muktsar","270","22822","269","22279","3","542","1"
"12","Kapurthala","540","22569","526","21967","7","599","3"
"13","Ropar","1114","19052","1091","18574","4","459","19"
"14","Ferozepur","465","18358","451","17811","3","540","7"
"15","Mansa","190","17415","185","17021","1","392","2"
"16","Faridkot","378","17214","378","16799","3","414","1"
"17","Sangrur","275","14709","266","13839","9","869","1"
"18","SBS Nagar","456","13858","452","13440","0","409","9"
"19","FG Sahib","703","12618","693","12173","1","437","8"
"20","Moga","242","11241","234","10965","6","272","4"
"21","Tarn Taran","146","11046","139","10644","1","399","3"
"22","Barnala","207","7707","205","7343","6","363","1"
"23","Malerkotla","60","4063","58","3849","3","214","0"
"","Total","23720","784248","23179","763453","192","20497","298"
