"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)","","",""
"","","","","","","","","Coverage of Vaccination  
on 16-01-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","3378","21129","214383","192322[1514]","89.71","932[1]","3658","5090","937","4641326"
"2","Faridabad","1396","9865","111627","101043[574]","90.52","719[1]","5212","5511","573","3449984"
"3","Hisar","272","1040","55467","53289[51]","96.07","1138","1662","1762","68","2111824"
"4","Sonepat","414","2001","50505","48248[182]","95.53","256","2644","3038","188","2045973"
"5","Karnal","360","2486","43428","40387[206]","93.00","555","610","571","109","2118480"
"6","Panipat","207","1277","32782","30867[83]","94.16","638","1733","2847","197","1783568"
"7","Panchkula","718","2846","36555","33325[735]","91.16","384[2]","315","365","119","987969"
"8","Ambala","536","3774","34805","30513[176]","87.67","518[1]","429","382","175","1907106"
"9","Sirsa","214","624","30205","29070[56]","96.24","511","558","626","82","1762752"
"10","Rohtak","240","1082","27520","25887[193]","94.07","534","775","828","27","1446294"
"11","Yamunanagar","196","790","25954","24745[53]","95.34","419","837","2235","46","1637566"
"12","Bhiwani","103","550","23084","21880[27]","94.78","654","510","601","81","1586375"
"13","Kurukshetra","113","604","23336","22374[163]","95.88","358","501","541","29","1274162"
"14","Mahindergarh","49","246","21988","21586[5]","98.17","156","168","291","64","1206868"
"15","Jind","121","540","21968","20893[31]","95.11","535[1]","1488","1410","6","1499221"
"16","Rewari","152","462","21156","20473[76]","96.77","221","555","782","171","1401783"
"17","Jhajjar","180","682","20165","19149[139]","94.96","328","1364","1663","56","1410566"
"18","Fatehabad","65","287","18284","17513[4]","95.78","484","689","1078","51","1116932"
"19","Kaithal","95","479","11849","11021[41]","93.01","349","311","189","28","1480948"
"20","Palwal","13","144","11213","10916[9]","97.35","153","1276","1774","57","1307064"
"21","Charkhi Dadri","45","247","5393","5007[15]","92.84","139","350","1871","66","773176"
"22","Nuh","33","98","5231","5010[28]","95.78","123","1679","2682","7","992449"
"Haryana","","8900","51253","846898","785518[4361]","92.75","10104[6]","27324","36137","3137","37942386"
