"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109560","179","107112","2269"
"2","SAS Nagar","95329","388","93800","1141"
"3","Jalandhar","78022","233","76218","1571"
"4","Patiala","61916","58","60402","1456"
"5","Amritsar","59258","73","57507","1678"
"6","Bathinda","50718","130","49503","1085"
"7","Hoshiarpur","40644","189","39365","1090"
"8","Gurdaspur","26866","59","25945","862"
"9","Pathankot","24379","156","23737","486"
"10","Fazilka","23287","246","22497","544"
"11","Muktsar","22498","100","21861","537"
"12","Kapurthala","21954","80","21295","579"
"13","Ropar","17891","61","17378","452"
"14","Ferozepur","17807","39","17238","530"
"15","Mansa","17218","10","16817","391"
"16","Faridkot","16670","78","16255","337"
"17","Sangrur","14297","13","13551","733"
"18","SBS Nagar","13370","22","12945","403"
"19","FG Sahib","11811","15","11442","354"
"20","Moga","10964","18","10692","254"
"21","Tarn Taran","10848","78","10377","393"
"22","Barnala","7440","36","7083","321"
"23","Malerkotla","3978","18","3784","176"
"","Total","756725","2279","736804","17642"
