"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","66","1148193","0","19725"
"2","Thane","6","120966","0","2290"
"3","TMC","12","202726","0","2191"
"4","Navi Mumbai","21","180905","0","2096"
"5","KDMC","9","180094","0","2978"
"6","Ulhasnagar MC","2","27295","0","686"
"7","Bhivandi Nijampur MC","0","13412","0","496"
"8","Mira Bhayandar MC","4","79852","0","1237"
"9","Palghar","1","65711","0","1244"
"10","Vasai Virar MC","4","102668","0","2177"
"11","Raigad","16","144441","0","3483"
"12","Panvel MC","12","111314","0","1487"
"","Mumbai circle total","153","2377577","0","40090"
"13","Nashik","9","186255","0","3817"
"14","Nashik MC","2","281114","0","4756"
"15","Malegaon MC","1","11158","0","345"
