"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109704","44","107384","2276"
"2","SAS Nagar","95613","67","94401","1145"
"3","Jalandhar","78215","42","76595","1578"
"4","Patiala","61994","21","60516","1457"
"5","Amritsar","59371","27","57662","1682"
"6","Bathinda","50827","15","49724","1088"
"7","Hoshiarpur","40790","39","39658","1093"
"8","Gurdaspur","26918","12","26043","863"
"9","Pathankot","24492","31","23966","495"
"10","Fazilka","23352","35","22772","545"
"11","Muktsar","22539","9","21992","538"
"12","Kapurthala","22008","7","21422","579"
"13","Ropar","17927","7","17465","455"
"14","Ferozepur","17883","11","17341","531"
"15","Mansa","17226","0","16834","392"
"16","Faridkot","16720","10","16372","338"
"17","Sangrur","14305","2","13568","735"
"18","SBS Nagar","13387","2","12979","406"
"19","FG Sahib","11829","5","11470","354"
"20","Moga","10979","4","10721","254"
"21","Tarn Taran","10882","12","10476","394"
"22","Barnala","7484","15","7124","345"
"23","Malerkotla","3967","1","3790","176"
"","Total","758412","418","740275","17719"
