"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109690","49","107365","2276"
"2","SAS Nagar","95577","79","94353","1145"
"3","Jalandhar","78192","54","76561","1577"
"4","Patiala","61986","31","60498","1457"
"5","Amritsar","59355","25","57648","1682"
"6","Bathinda","50809","18","49703","1088"
"7","Hoshiarpur","40779","65","39621","1093"
"8","Gurdaspur","26909","10","26036","863"
"9","Pathankot","24485","45","23945","495"
"10","Fazilka","23337","30","22762","545"
"11","Muktsar","22535","10","21987","538"
"12","Kapurthala","21995","7","21409","579"
"13","Ropar","17923","16","17452","455"
"14","Ferozepur","17871","14","17326","531"
"15","Mansa","17226","2","16832","392"
"16","Faridkot","16711","10","16363","338"
"17","Sangrur","14305","2","13568","735"
"18","SBS Nagar","13386","5","12976","405"
"19","FG Sahib","11824","2","11468","354"
"20","Moga","10976","3","10719","254"
"21","Tarn Taran","10880","20","10466","394"
"22","Barnala","7480","13","7122","345"
"23","Malerkotla","3965","0","3789","176"
"","Total","758196","510","739969","17717"
