"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","1","4","0","2027","16","9","0"
"East Jaintia Hills","3","4","1","2586","34","12","0"
"East Khasi Hills","5","9","2","46952","1066","145","44"
"Eastern West Khasi Hills","0","4","0","134","6","11","0"
"North Garo Hills","0","1","0","1845","9","13","1"
"Ri-Bhoi","2","9","0","10252","96","26","1"
"South Garo Hills","0","2","0","1332","12","5","0"
"South West Garo Hills","0","0","0","2073","20","14","1"
"South West Khasi Hills","0","0","0","2678","19","7","0"
"West Garo Hills","0","3","0","10662","79","54","2"
"West Jaintia Hills","0","0","0","7138","139","36","4"
"West Khasi Hills","0","1","0","5625","75","11","0"
"Total","11","37","3","93304","1571","343","53"
