"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
23-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","28","182053","180988[19]","99.42","926","139","2531","7608","4156149"
"2","Faridabad","3","100046","99288[2]","99.24","717","41","3147","12073","2985904"
"3","Hisar","0","54002","52865","97.89","1137","0","4613","14022","1637563"
"4","Sonepat","0","47146","46891","99.46","254","1","1966","6809","1682247"
"5","Karnal","0","40068","39497","98.57","554","17","4649","11730","1749155"
"6","Panipat","2","31160","30517","97.94","638","5","2812","8870","1443643"
"7","Panchkula","6","30927","30493[3]","98.60","381","53","637","3126","851263"
"8","Ambala","2","30165","29646","98.28","509","10","1460","9684","1745421"
"9","Sirsa","1","29304","28788","98.24","509","7","7282","20207","1390449"
"10","Rohtak","0","25923","25371","97.87","534","1","1896","5122","1206644"
"11","Yamunanagar","1","24664","24242[1]","98.29","414","8","1260","8743","1380498"
"12","Bhiwani","0","22412","21758","97.08","652","2","1599","10504","1372760"
"13","Kurukshetra","2","22165","21803","98.37","357","5","2654","9518","1057221"
"14","Mahindergarh","0","21689","21534","99.29","155","0","1949","8604","1021215"
"15","Jind","0","21210","20677","97.49","533","0","4445","9227","1237465"
"16","Rewari","0","20330","20108","98.91","221","1","1562","6859","1191303"
"17","Jhajjar","1","18853","18516","98.21","328","3","1321","5481","1188671"
"18","Fatehabad","0","17880","17398","97.30","482","0","931","5190","908679"
"19","Kaithal","0","11251","10904[1]","96.92","346","1","12398","22996","1210411"
"20","Palwal","0","11031","10877","98.60","153","1","1832","6248","1095230"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","590","1284","699876"
"22","Nuh","0","5014","4891","97.55","123","0","1780","4740","808752"
"Haryana","","46","772372","761992[26]","98.66","10062","295","63314","198645","32020519"
