"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","527","110303","350","107839","10","2289","175"
"2","SAS Nagar","947","96636","687","95220","3","1151","265"
"3","Jalandhar","245","78515","184","76884","1","1579","52"
"4","Patiala","369","62400","282","60854","0","1457","89"
"5","Amritsar","156","59553","114","57822","2","1684","47"
"6","Bathinda","133","51001","88","49866","0","1088","47"
"7","Hoshiarpur","96","40936","90","39822","0","1096","18"
"8","Gurdaspur","44","26983","31","26104","1","865","14"
"9","Pathankot","87","24616","76","24109","0","495","12"
"10","Fazilka","66","23462","52","22891","0","545","26"
"11","Muktsar","20","22574","18","22028","0","539","7"
"12","Kapurthala","67","22102","53","21505","1","583","14"
"13","Ropar","64","18002","47","17530","0","455","17"
"14","Ferozepur","46","17945","24","17384","0","537","24"
"15","Mansa","26","17254","9","16845","1","393","16"
"16","Faridkot","81","16864","54","16495","0","338","31"
"17","Sangrur","17","14326","7","13580","0","735","11"
"18","SBS Nagar","30","13432","32","13020","0","409","3"
"19","FG Sahib","65","11899","41","11521","0","354","24"
"20","Moga","16","11004","12","10743","1","255","6"
"21","Tarn Taran","19","10916","12","10517","0","394","5"
"22","Barnala","11","7508","13","7156","0","349","3"
"23","Malerkotla","10","3978","9","3800","0","176","2"
"","Total","3142","762209","2285","743535","20","17766","908"
