"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","243","110019","186","107675","3","2282","62"
"2","SAS Nagar","488","96177","391","94924","2","1150","103"
"3","Jalandhar","166","78436","124","76824","1","1579","33"
"4","Patiala","242","62273","223","60795","0","1457","21"
"5","Amritsar","94","59491","88","57796","0","1682","13"
"6","Bathinda","63","50931","56","49834","0","1088","9"
"7","Hoshiarpur","71","40911","74","39806","0","1096","9"
"8","Gurdaspur","25","26964","21","26094","1","865","5"
"9","Pathankot","52","24584","51","24084","0","495","5"
"10","Fazilka","33","23431","42","22881","0","545","5"
"11","Muktsar","13","22567","15","22025","0","539","3"
"12","Kapurthala","41","22076","39","21491","1","583","2"
"13","Ropar","38","17976","32","17515","0","455","6"
"14","Ferozepur","21","17920","21","17381","0","537","2"
"15","Mansa","6","17234","5","16841","1","393","0"
"16","Faridkot","33","16816","35","16476","0","338","2"
"17","Sangrur","1","14310","1","13574","0","735","1"
"18","SBS Nagar","24","13426","26","13014","0","409","3"
"19","FG Sahib","21","11855","12","11492","0","354","9"
"20","Moga","9","10997","9","10740","1","255","2"
"21","Tarn Taran","6","10904","3","10508","0","394","2"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1698","760771","1466","742716","10","17756","299"
