,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
0,2022-02-21,HP,Bilaspur,,,,18122,95,17879,,2022-02-22 11:55:25.457657,,,,282267,4097,276540,,1,19
1,2022-02-21,HP,Chamba,,,,15704,169,15353,,2022-02-22 11:55:25.457657,,,,282267,4097,276540,,2,19
2,2022-02-21,HP,Hamirpur,,,,23083,322,22505,,2022-02-22 11:55:25.457657,,,,282267,4097,276540,,1,19
3,2022-02-21,HP,Kangra,,,,62963,1237,61202,,2022-02-22 11:55:25.457657,,,,282267,4097,276540,,6,19
4,2022-02-21,HP,Kinnaur,,,,4410,40,4349,,2022-02-22 11:55:25.457657,,,,282267,4097,276540,,0,19
5,2022-02-21,HP,Kullu,,,,11920,162,11715,,2022-02-22 11:55:25.457657,,,,282267,4097,276540,,3,19
6,2022-02-21,HP,Lahaul and Spiti,,,,3149,18,3121,,2022-02-22 11:55:25.457657,,,,282267,4097,276540,,0,19
7,2022-02-21,HP,Mandi,,,,38519,497,37877,,2022-02-22 11:55:25.457657,,,,282267,4097,276540,,0,19
8,2022-02-21,HP,Shimla,,,,35381,709,34480,,2022-02-22 11:55:25.457657,,,,282267,4097,276540,,4,19
9,2022-02-21,HP,Sirmaur,,,,19770,220,19456,,2022-02-22 11:55:25.457657,,,,282267,4097,276540,,0,19
10,2022-02-21,HP,Solan,,,,30500,334,30004,,2022-02-22 11:55:25.457657,,,,282267,4097,276540,,0,19
11,2022-02-21,HP,Una,,,,18602,275,18166,,2022-02-22 11:55:25.457657,,,,282267,4097,276540,,2,19
12,2022-02-21,HP,Unknown,,,,144,19,433,,2022-02-22 11:55:25.457657,,,,282267,4097,276540
