"District","Positive 
Cases 
declared 
today","Declared 
Negative 
today","Positive 
cases 
admitted in 
the district","Other Districts"
"Thiruvananthapuram","990","830","11612","Kollam - 99, Pathanamthitta - 18, Alappuzha - 8, 
Kottayam - 13, Idukki - 12, Ernakulam - 7, Thrissur - 7, 
Palakkad - 4, Malappuram - 2, Kozhikode - 3, Kannur - 
2, Kasaragod - 1, Others - 59"
"Kollam","606","793","6088","Pathanamthitta - 12, Idukki - 1, Ernakulam - 1"
"Pathanamthitta","213","924","4030","Alappuzha - 3, Kottayam - 8, Idukki - 4, Ernakulam - 4, 
Thrissur - 1"
"Alappuzha","228","393","2680","Pathanamthitta - 40, Kottayam - 34, Ernakulam - 3, 
Palakkad - 5, Kannur - 1"
"Kottayam","673","990","5868","Pathanamthitta - 50, Idukki - 52, Ernakulam - 30, 
Thrissur - 1, Kannur - 2"
"Idukki","332","234","4293","Alappuzha - 1, Kottayam - 14, Ernakulam - 35"
"Ernakulam","916","1730","9299","Pathanamthitta - 10, Kottayam - 11, Idukki - 24, 
Thrissur - 2, Palakkad - 12, Wayanad - 2, Kannur - 4, 
Kasaragod - 2, Others - 300"
"Thrissur","780","107","7605","Kollam - 1, Pathanamthitta - 1, Alappuzha - 1, Kottayam 
- 1, Idukki - 1, Ernakulam - 6, Palakkad - 26, 
Malappuram - 1, Kannur - 1, Others - 1"
"Palakkad","345","429","3108",""
"Malappuram","290","510","4580","Thiruvananthapuram - 2, Pathanamthitta - 4, Kottayam 
- 2, Idukki - 1, Ernakulam - 4, Thrissur - 4, Kannur - 2, 
Kasaragod - 1"
"Kozhikode","648","813","7622","Thiruvananthapuram - 2, Pathanamthitta - 1, Kottayam 
- 5, Ernakulam - 13, Malappuram - 4, Wayanad - 21, 
Kannur - 61, Kasaragod - 13, Others - 1"
"Wayanad","92","272","2667","Kannur - 3"
"Kannur","255","264","3806",""
"Kasaragod","76","135","1360","Kannur - 2"
"Total","6444","8424","74618",""
