"Total No. of Sample Taken Today","14563"
"Total No. of Positive Cases Detected Today","365"
"Total Active COVID-19 Patients","1578"
"Total No. of Active Cases under Home Isolation (13-07-2022)","1510"
"Total No. of Samples found Positive till date","1020684"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1008453"
"No. of Deaths","10630"
"Total No. of People Vaccinated Today","19040 
(1st Dose: 1029 
2nd Dose: 4521 
Precaution Dose: 13490)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23590150 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 15yrs above population)","19538428 (87%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1167173"
"Cumulative Coverage of Total COVID-19 Vaccination","44295751"
"COVID-19 Today (13-07-2022) Positivity Rate","2.66%"
"Recovery Rate","98.80%"
"Fatality Rate","1.04%"
