"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","0","0","0","2046","17","1","0"
"East Jaintia Hills","0","0","1","2614","38","5","0"
"East Khasi Hills","3","1","0","47054","1074","16","5"
"Eastern West Khasi Hills","0","0","0","140","8","0","0"
"North Garo Hills","1","0","0","1880","9","2","0"
"Ri-Bhoi","0","1","0","10301","97","5","1"
"South Garo Hills","0","0","0","1343","13","3","1"
"South West Garo Hills","0","0","0","2090","20","1","0"
"South West Khasi Hills","0","0","0","2697","20","3","0"
"West Garo Hills","0","0","0","10718","80","11","2"
"West Jaintia Hills","1","0","0","7184","139","9","0"
"West Khasi Hills","1","2","0","5647","76","5","0"
"Total","6","4","1","93714","1591","61","9"
