"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","2","40678","2","40307","4","0","367","0"
"2","Ballari","2","115502","3","113711","28","0","1761","2"
"3","Belagavi","2","100111","3","99057","51","0","1001","2"
"4","Bengaluru Rural","2","79272","0","78350","16","0","906","0"
"5","Bengaluru Urban","112","1780336","87","1761271","2122","0","16942","1"
"6","Bidar","0","29804","0","29379","1","0","420","4"
"7","Chamarajanagara","0","43614","3","43073","6","0","524","11"
"8","Chikkaballapura","1","55614","0","55142","12","0","459","1"
"9","Chikkamagaluru","1","57235","2","56820","9","0","406","0"
"10","Chitradurga","21","46265","8","45966","60","0","239","0"
"11","Dakshina 
Kannada","3","135448","2","133577","23","0","1838","10"
"12","Davanagere","0","57534","0","56904","7","0","623","0"
"13","Dharwad","0","84055","1","82658","11","0","1382","4"
"14","Gadag","0","30583","5","30247","1","0","335","0"
"15","Hassana","0","143855","3","142537","11","0","1305","2"
"16","Haveri","0","26835","0","26163","4","0","668","0"
"17","Kalaburagi","3","76591","4","75682","30","0","879","0"
"18","Kodagu","0","49256","0","48887","16","0","352","1"
"19","Kolara","1","62978","1","62302","12","0","664","0"
"20","Koppala","1","41281","0","40741","2","0","538","0"
"21","Mandya","1","101477","0","100758","9","0","710","0"
"22","Mysuru","7","229405","0","226795","53","0","2557","0"
"23","Raichuru","0","45446","0","45075","7","0","364","0"
"24","Ramanagara","0","29784","0","29415","22","0","347","0"
"25","Shivamogga","0","83304","0","82109","66","0","1128","1"
"26","Tumakuru","4","159811","4","158557","38","0","1216","0"
"27","Udupi","0","95588","2","95037","5","0","546","0"
"28","Uttara Kannada","1","71154","0","70332","13","0","809","0"
"29","Vijayapura","0","40993","0","40470","6","0","517","0"
"30","Yadagiri","0","29961","0","29738","11","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","164","3943806","130","3901093","2656","0","40018","39"
"*
   
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today 
 
Date: 13-03-2022 
Page 5 of 6","","","","","","","","",""
