"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","9","4","0","1971","16","34","0"
"East Jaintia Hills","5","7","0","2536","32","32","0"
"East Khasi Hills","93","206","2","46165","1041","1022","128"
"Eastern West Khasi Hills","4","3","0","84","5","57","0"
"North Garo Hills","19","6","0","1778","8","66","0"
"Ri-Bhoi","16","17","0","10092","91","169","4"
"South Garo Hills","10","9","0","1292","12","41","1"
"South West Garo Hills","18","12","0","2007","18","94","0"
"South West Khasi Hills","10","1","0","2636","18","66","0"
"West Garo Hills","93","86","0","10248","76","528","15"
"West Jaintia Hills","15","16","1","6992","138","89","11"
"West Khasi Hills","1","4","0","5586","74","34","0"
"Total","293","371","3","91387","1529","2232","159"
