"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 14-06-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","279","1119","276993","274867 [188] ↑","99.23%","1007","27","114","935","5398867"
"2","Faridabad","105","410","130404","129253 [37] ↑","99.12%","741","61","174","530","4062929"
"3  Hisar","","6","26","62202","61001 [2] ↑","98.07%","1175","2","53","57","2355211"
"4","Sonipat","3","8","58751","58467 [9] ↑","99.52%","276","16","80","66","2293938"
"5","Karnal","1","13","48279","47670 [1] ↑","98.74%","596","4","6","33","2396510"
"6","Panchkula","15","78","44500","44008 [20] ↑","98.89%","414","4","20","68","1129048"
"7","Ambala","4","25","40848","40281 [2] ↑","98.61%","542","40","67","296","2143811"
"8","Panipat","1","11","36127","35444","98.11%","672","34","143","150","2060822"
"9","Sirsa","0","10","33430","32881 [1] ↑","98.36%","539","3","25","49","1941433"
"10  Rohtak","","6","21","32016","31441 [4] ↑","98.20%","537","14","1010","80","1713031"
"","11  Yamunanagar","1","4","30702","30243 [1] ↑","98.50%","455","0","9","8","1967426"
"12  Kurukshetra","","0","16","26884","26470","98.46%","398","2","57","9","1560603"
"13  Bhiwani","","4","18","26564","25881","97.43%","665","3","41","41","1782964"
"","14  Mahendragarh","0","0","24754","24589","99.33%","165","3","15","26","1387687"
"15  Rewari","","0","9","24668","24435 [1] ↑","99.06%","224","0","7","32","1578707"
"16","Jind","0","8","24373","23823","97.74%","542","16","124","63","1722266"
"17","Jhajjar","3","11","23541","23174 [1] ↑","98.44%","350","19","58","29","1580969"
"18  Fatehabad","","0","2","20083","19583","97.51%","498","0","1","1","1193860"
"19  Kaithal","","0","18","14268","13879 [1] ↑","97.27%","371","7","117","103","1775110"
"20  Palwal","","1","3","13511","13338","98.72%","170","17","35","13","1539977"
"","21  Charkhi Dadri","0","8","7468","7315","97.95%","145","1","1","101","902628"
"22  Nuh","","1","3","6125","5983 [3] ↑","97.68%","139","1","4","10","1222235"
"HARYANA","","430","1821","1006491","994026 [271] ↑","98.76%","10621","274","2161","2700","43710032"
