"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","756"
"2","Number of persons tested positive today in Tamil Nadu","112"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Total","113"
"3","Total Number of persons tested positive till date","34,55,871"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,061/ 
6,66,69,317@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,038/ 
6,54,91,947"
"6","No. of Male / Female / Transgender tested positive today","68/45/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,835/14,38,998/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339$ (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","68/ 
34,17,090"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
