"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
01-01-2022","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","298","183274","181199[46]","98.87","926","1149","3339","6820","4281685"
"2","Faridabad","107","100303","99328[3]","99.03","717","258","3303","7671","3138472"
"3","Hisar","3","54015","52865","97.87","1137","13","9185","13894","1893924"
"4","Sonepat","31","47208","46894[1]","99.33","254","60","6068","9676","1823530"
"5","Karnal","6","40104","39514","98.53","554","36","3994","7859","1908814"
"6","Panipat","7","31186","30522[2]","97.87","638","26","5655","9367","1597292"
"7","Panchkula","26","31026","30538[5]","98.43","381","107","1380","2525","896451"
"8","Ambala","32","30273","29654[2]","97.96","509","110","1109","1130","1798788"
"9","Sirsa","1","29308","28795[2]","98.25","509","4","5126","7305","1631049"
"10","Rohtak","12","25951","25372","97.77","534","28","3952","4677","1304804"
"11","Yamunanagar","5","24696","24249[1]","98.19","414","33","899","3244","1462996"
"12","Bhiwani","1","22415","21760","97.08","652","3","2373","7036","1473482"
"13","Kurukshetra","6","22194","21807","98.26","358","29","2389","4600","1152770"
"14","Mahindergarh","0","21693","21534","99.27","156","3","1142","2489","1112829"
"15","Jind","1","21216","20677","97.46","533","6","4448","5647","1364116"
"16","Rewari","0","20335","20109","98.89","221","5","1424","3562","1288034"
"17","Jhajjar","7","18871","18519","98.13","328","18","2459","4298","1276940"
"18","Fatehabad","1","17883","17398","97.29","482","3","3374","6752","1011418"
"19","Kaithal","1","11254","10904","96.89","346","4","2707","2180","1364337"
"20","Palwal","1","11032","10877","98.59","153","2","1241","2793","1168425"
"21","Charkhi Dadri","2","5083","4940","97.19","139","4","638","1024","717990"
"22","Nuh","4","5020","4891","97.43","123","6","1263","3650","871052"
"Haryana","","552","774340","762346[62]","98.45","10064","1907","67468","118199","34539198"
