"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109772","15","107478","2279"
"2","SAS Nagar","95683","11","94524","1148"
"3","Jalandhar","78279","12","76689","1578"
"4","Patiala","62030","10","60563","1457"
"5","Amritsar","59391","3","57706","1682"
"6","Bathinda","50867","2","49777","1088"
"7","Hoshiarpur","40829","8","39725","1096"
"8","Gurdaspur","26937","1","26072","864"
"9","Pathankot","24527","12","24020","495"
"10","Fazilka","23385","5","22835","545"
"11","Muktsar","22549","1","22009","539"
"12","Kapurthala","22031","6","21446","579"
"13","Ropar","17936","1","17480","455"
"14","Ferozepur","17897","3","17357","537"
"15","Mansa","17228","0","16836","392"
"16","Faridkot","16779","10","16431","338"
"17","Sangrur","14308","1","13572","735"
"18","SBS Nagar","13395","2","12986","407"
"19","FG Sahib","11834","0","11480","354"
"20","Moga","10985","1","10730","254"
"21","Tarn Taran","10898","5","10499","394"
"22","Barnala","7495","5","7142","348"
"23","Malerkotla","3967","1","3790","176"
"","Total","759002","115","741147","17740"
