"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19881","19590","24","267"
"2","Chengalpattu","234997","231718","623","2656"
"3","Chennai","749847","739274","1511","9062"
"4","Coimbatore","329459","325986","860","2613"
"5","Cuddalore","74192","73172","127","893"
"6","Dharmapuri","36162","35815","64","283"
"7","Dindigul","37453","36762","26","665"
"8","Erode","132585","131465","386","734"
"9","Kallakurichi","36509","36269","25","215"
"10","Kancheepuram","94286","92781","203","1302"
"11","Kanyakumari","86136","84889","162","1085"
"12","Karur","29740","29302","66","372"
"13","Krishnagiri","59585","59085","130","370"
"14","Madurai","91004","89692","76","1236"
"15","Mayiladuthurai","26494","26147","18","329"
"16","Nagapattinam","25425","25003","47","375"
"17","Namakkal","67959","67268","158","533"
"18","Nilgiris","41969","41545","198","226"
"19","Perambalur","14455","14192","14","249"
"20","Pudukottai","34446","33979","41","426"
"21","Ramanathapuram","24655","24262","25","368"
"22","Ranipet","53897","53073","37","787"
"23","Salem","127273","125295","216","1762"
"24","Sivagangai","23780","23496","65","219"
"25","Tenkasi","32731","32222","19","490"
"26","Thanjavur","92074","90919","117","1038"
"27","Theni","50586","50036","18","532"
"28","Thirupathur","35717","35071","13","633"
"29","Thiruvallur","147310","145134","238","1938"
"30","Thiruvannamalai","66771","66013","74","684"
"31","Thiruvarur","47994","47448","74","472"
"32","Thoothukudi","64925","64414","64","447"
"33","Tirunelveli","62725","62226","54","445"
"34","Tiruppur","129810","128532","226","1052"
"35","Trichy","94857","93519","178","1160"
"36","Vellore","57185","55936","86","1163"
"37","Villupuram","54568","54127","75","366"
"38","Virudhunagar","56790","56186","50","554"
"39","Airport Surveillance 
(International)","1243","1237","5","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,49,007","34,04,611","6,393","38,003"
