"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
10-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","12","181830","180812[10]","99.44","924","94","2727","9208","3993162"
"2","Faridabad","4","99993","99235[4]","99.24","717","41","2910","9110","2842893"
"3","Hisar","0","54002","52862","97.89","1136","4","1842","8408","1509678"
"4","Sonepat","0","47145","46891[1]","99.46","254","0","1240","4510","1601612"
"5","Karnal","0","40048","39489","98.60","553","6","1510","7622","1647198"
"6","Panipat","0","31155","30516","97.95","638","1","2130","6722","1335251"
"7","Panchkula","5","30862","30457[2]","98.69","379","26","523","2469","820424"
"8","Ambala","1","30155","29643[2]","98.30","509","3","864","8148","1640835"
"9","Sirsa","0","29296","28775","98.22","508","13","2081","6038","1272871"
"10","Rohtak","2","25921","25365","97.86","534","5","1390","5178","1141086"
"11","Yamunanagar","1","24657","24233[4]","98.28","414","10","870","7029","1303466"
"12","Bhiwani","1","22411","21758","97.09","652","1","630","7818","1288118"
"13","Kurukshetra","0","22159","21796","98.36","357","6","1060","6742","979913"
"14","Mahindergarh","0","21689","21534","99.29","155","0","576","3786","970212"
"15","Jind","0","21210","20677","97.49","533","0","1425","7286","1124793"
"16","Rewari","0","20329","20108","98.91","221","0","822","6668","1110752"
"17","Jhajjar","0","18850","18516","98.23","328","0","850","4237","1131021"
"18","Fatehabad","0","17880","17398","97.30","482","0","540","3303","864345"
"19","Kaithal","1","11250","10900","96.89","346","4","892","5645","1017137"
"20","Palwal","0","11031","10875","98.59","153","3","1625","3827","1024564"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","185","1463","687311"
"22","Nuh","0","5014","4891","97.55","123","0","3716","1674","757850"
"Total","","27","771966","761671[23]","98.67","10055","217","30408","126891","30064492"
