,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,2021-12-19,MH,902,9,767,113735,30249,65529,0,4334,5713.0,90.0,4996.0,808699.0,1114986.0,2887028.0,0.0,Ahmednagar,37,1,51,,447,1507,0,847,331.0,12.0,308.0,,38355.0,106704.0,0,4543083,,,11 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,343061,7150,335531,,2789215,1500787,0,11,2022-01-22 00:35:11.856864,122153000,2022-01-22 00:35:11.857661,,3679 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6649596,141349,6497500,67684674,78808077,48970130,0,3679,0.0,0.0
1,1,1,1,2021-12-19,MH,902,9,767,113735,30249,65529,0,4334,5713.0,90.0,4996.0,808699.0,1114986.0,2887028.0,0.0,Akola,1,0,1,,158,390,0,0,5.0,1.0,5.0,,10845.0,31037.0,0,1818617,,,4 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,58806,1428,57368,,1092840,547467,0,4,2022-01-22 00:35:11.856864,122153000,2022-01-22 00:35:11.857661,,3679 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6649596,141349,6497500,67684674,78808077,48970130,0,3679,0.0,0.0
2,2,2,2,2021-12-19,MH,902,9,767,113735,30249,65529,0,4334,5713.0,90.0,4996.0,808699.0,1114986.0,2887028.0,0.0,Amravati,0,0,0,,463,325,0,40,8.0,0.0,12.0,,23943.0,51891.0,0,2887826,,,2 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,96301,1598,94690,,1810064,891962,0,2,2022-01-22 00:35:11.856864,122153000,2022-01-22 00:35:11.857661,,3679 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6649596,141349,6497500,67684674,78808077,48970130,0,3679,0.0,0.0
3,3,3,3,2021-12-19,MH,902,9,767,113735,30249,65529,0,4334,5713.0,90.0,4996.0,808699.0,1114986.0,2887028.0,0.0,Aurangabad,12,0,2,,548,1379,0,292,83.0,0.0,76.0,,28942.0,59153.0,0,3695928,,,14 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,156042,4264,151699,,2600469,1271935,0,14,2022-01-22 00:35:11.856864,122153000,2022-01-22 00:35:11.857661,,3679 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6649596,141349,6497500,67684674,78808077,48970130,0,3679,0.0,0.0
4,4,4,4,2021-12-19,MH,902,9,767,113735,30249,65529,0,4334,5713.0,90.0,4996.0,808699.0,1114986.0,2887028.0,0.0,Beed,5,0,0,,1147,1493,0,44,42.0,2.0,53.0,,33997.0,42512.0,0,2585962,,,7 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,104135,2837,101240,,1562448,846139,0,7,2022-01-22 00:35:11.856864,122153000,2022-01-22 00:35:11.857661,,3679 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6649596,141349,6497500,67684674,78808077,48970130,0,3679,0.0,0.0
5,5,5,5,2021-12-19,MH,902,9,767,113735,30249,65529,0,4334,5713.0,90.0,4996.0,808699.0,1114986.0,2887028.0,0.0,Bhandara,0,0,0,,0,3,0,-95,2.0,0.0,0.0,,4725.0,31129.0,0,1198810,,,10 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,59996,1123,58861,,861410,633283,0,10,2022-01-22 00:35:11.856864,122153000,2022-01-22 00:35:11.857661,,3679 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6649596,141349,6497500,67684674,78808077,48970130,0,3679,0.0,0.0
6,6,6,6,2021-12-19,MH,902,9,767,113735,30249,65529,0,4334,5713.0,90.0,4996.0,808699.0,1114986.0,2887028.0,0.0,Buldhana,0,0,0,,45,65,0,15,6.0,0.0,9.0,,15949.0,53341.0,0,2588039,,,6 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,85636,805,84818,,1626791,871027,0,6,2022-01-22 00:35:11.856864,122153000,2022-01-22 00:35:11.857661,,3679 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6649596,141349,6497500,67684674,78808077,48970130,0,3679,0.0,0.0
7,7,7,7,2021-12-19,MH,902,9,767,113735,30249,65529,0,4334,5713.0,90.0,4996.0,808699.0,1114986.0,2887028.0,0.0,Chandrapur,1,0,1,,61,134,0,36,6.0,0.0,5.0,,16469.0,84944.0,0,2194262,,,4 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,89035,1564,87453,,1487351,865315,0,4,2022-01-22 00:35:11.856864,122153000,2022-01-22 00:35:11.857661,,3679 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6649596,141349,6497500,67684674,78808077,48970130,0,3679,0.0,0.0
8,8,8,8,2021-12-19,MH,902,9,767,113735,30249,65529,0,4334,5713.0,90.0,4996.0,808699.0,1114986.0,2887028.0,0.0,Dhule,1,0,0,,238,317,0,-29,10.0,0.0,4.0,,21794.0,39424.0,0,2048781,,,11 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,46170,655,45496,,1287915,781622,0,11,2022-01-22 00:35:11.856864,122153000,2022-01-22 00:35:11.857661,,3679 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6649596,141349,6497500,67684674,78808077,48970130,0,3679,0.0,0.0
9,9,9,9,2021-12-19,MH,902,9,767,113735,30249,65529,0,4334,5713.0,90.0,4996.0,808699.0,1114986.0,2887028.0,0.0,Gadchiroli,0,0,0,,2077,1327,0,0,8.0,0.0,3.0,,11240.0,20861.0,0,1071795,,,33 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,30470,669,29759,,619065,375589,0,33,2022-01-22 00:35:11.856864,122153000,2022-01-22 00:35:11.857661,,3679 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6649596,141349,6497500,67684674,78808077,48970130,0,3679,0.0,0.0
