"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","98","1148523","2","19728"
"2","Thane","13","120988","0","2290"
"3","TMC","14","202766","0","2193"
"4","Navi Mumbai","30","180979","0","2096"
"5","KDMC","12","180126","0","2978"
"6","Ulhasnagar MC","4","27300","0","686"
"7","Bhivandi Nijampur MC","0","13414","0","496"
"8","Mira Bhayandar MC","3","79865","0","1237"
"9","Palghar","7","65727","0","1244"
"10","Vasai Virar MC","6","102687","0","2177"
"11","Raigad","20","144504","0","3484"
"12","Panvel MC","11","111351","0","1487"
"","Mumbai circle total","218","2378230","2","40096"
"13","Nashik","12","186273","0","3817"
"14","Nashik MC","11","281144","0","4756"
"15","Malegaon MC","0","11163","0","345"
