"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","11","0","2","0","1899","1874","14"
"East Jaintia Hills","2","0","1","0","2441","2407","32"
"East Khasi Hills","245","20","30","3","41617","40374","998"
"North Garo Hills","0","0","0","0","1685","1677","8"
"Ri-Bhoi","8","0","3","0","9727","9629","90"
"South Garo Hills","0","0","0","0","1217","1205","12"
"South West Garo Hills","0","0","0","0","1873","1855","18"
"South West Khasi Hills","0","0","0","0","2549","2532","17"
"West Garo Hills","15","0","2","0","9075","8987","73"
"West Jaintia Hills","9","0","1","0","6819","6675","135"
"West Khasi Hills","18","0","5","0","5512","5420","74"
"Total","308","20","44","3","84414","82635","1471"
