,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10766,10637,129,2023-06-14,TT,44993080,531892,44459040,2023-06-23 01:34:59.447774,931534956,2023-06-13 00:00:00,80912,2206704614,1027410821,951977767,227316026,991264,347616,353285,290363,https://www.icmr.gov.in/,120,0,220,306,53,101,460,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2340672,2325939,14733,2023-06-14,TT,44993080,531892,44459040,2023-06-23 01:34:59.447774,931534956,2023-06-13 00:00:00,80912,2206704614,1027410821,951977767,227316026,110957228,44704337,47578776,18674115,https://www.icmr.gov.in/,120,0,220,306,53,101,460,7,0,1,8,0,1,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,67040,66740,296,2023-06-14,TT,44993080,531892,44459040,2023-06-23 01:34:59.447774,931534956,2023-06-13 00:00:00,80912,2206704614,1027410821,951977767,227316026,1924584,961348,821819,141417,https://www.icmr.gov.in/,120,0,220,306,53,101,460,0,0,0,0,1,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746138,738084,8035,2023-06-14,TT,44993080,531892,44459040,2023-06-23 01:34:59.447774,931534956,2023-06-13 00:00:00,80912,2206704614,1027410821,951977767,227316026,50335778,24813013,22150254,3372511,https://www.icmr.gov.in/,120,0,220,306,53,101,460,0,0,0,0,0,0,0,,,1332900000,Assam,34293000
4,Bihar,855245,842918,12314,2023-06-14,TT,44993080,531892,44459040,2023-06-23 01:34:59.447774,931534956,2023-06-13 00:00:00,80912,2206704614,1027410821,951977767,227316026,157289457,73485502,67912242,15891713,https://www.icmr.gov.in/,120,0,220,306,53,101,460,5,0,20,25,1,3,0,,,1332900000,Bihar,119520000
5,Chandigarh,100686,99498,1185,2023-06-14,TT,44993080,531892,44459040,2023-06-23 01:34:59.447774,931534956,2023-06-13 00:00:00,80912,2206704614,1027410821,951977767,227316026,2291282,1185679,991050,114553,https://www.icmr.gov.in/,120,0,220,306,53,101,460,0,0,3,3,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1187674,1173472,14189,2023-06-14,TT,44993080,531892,44459040,2023-06-23 01:34:59.447774,931534956,2023-06-13 00:00:00,80912,2206704614,1027410821,951977767,227316026,49167910,21267789,20343753,7556368,https://www.icmr.gov.in/,120,0,220,306,53,101,460,3,2,1,6,4,3,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,2023-06-14,TT,44993080,531892,44459040,2023-06-23 01:34:59.447774,931534956,2023-06-13 00:00:00,80912,2206704614,1027410821,951977767,227316026,1580040,782352,636962,160726,https://www.icmr.gov.in/,120,0,220,306,53,101,460,0,0,0,0,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2040742,2014056,26663,2023-06-14,TT,44993080,531892,44459040,2023-06-23 01:34:59.447774,931534956,2023-06-13 00:00:00,80912,2206704614,1027410821,951977767,227316026,37408523,18297535,15717300,3393688,https://www.icmr.gov.in/,120,0,220,306,53,101,460,5,7,11,23,0,1,0,,,1332900000,Delhi,19814000
9,Goa,263255,259203,4014,2023-06-14,TT,44993080,531892,44459040,2023-06-23 01:34:59.447774,931534956,2023-06-13 00:00:00,80912,2206704614,1027410821,951977767,227316026,2874477,1440045,1295735,138697,https://www.icmr.gov.in/,120,0,220,306,53,101,460,0,0,0,0,4,11,0,,,1332900000,Goa,1540000
