"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,61,171"
"2","Number of persons tested positive today in Tamil Nadu","23,865"
"","Passengers returned from other countries  by 
International airport tested positive today","Qatar - 1 
UAE - 1"
"","Passengers returned from other states/Countries by 
Road tested positive today","West Bengal - 11 
Karnataka - 4 
Assam - 2 
Mizoram - 1 
Odisha - 1 
Bihar - 1 
Bangladesh - 1"
"","Total","23,888"
"3","Total Number of persons tested positive till date","29,87,254"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,41,562/ 
5,98,30,285@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,36,550/ 
5,88,62,266"
"6","No. of Male / Female / Transgender tested positive today","14,004/9,884/0"
"7","No. of Male / Female / Transgender tested positive till date","17,45,295/12,41,921/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","325 (69 Govt+ 
256$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","15,036/ 
27,89,045"
"10","Total number of deaths today/ till date","29(13 Private &  
16 Govt) /37,038"
