"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)","","",""
"","","","","","","","","Coverage of Vaccination  
on 19-02-2022","","","Cumulativ
e Coverage 
of 
Vaccinatio"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","198","1274","257389","255126[275]","99.12","989[1]","669","3440","504","4926736"
"2","Faridabad","33","439","126448","125270[79]","99.07","739","707","3026","295","3751625"
"3","Hisar","23","126","61615","60319[36]","97.90","1170","577","1520","125","2222937"
"4","Sonepat","15","126","58290","57888[33]","99.31","276","549","2383","80","2170420"
"5","Karnal","8","91","48048","47362[22]","98.57","595","347","2005","109","2242999"
"6","Panipat","4","66","36020","35293[7]","97.98","661","675","3696","76","1926506"
"7","Panchkula","14","89","43960","43459[8]","98.86","412","160","759","160","1051824"
"8","Ambala","19","168","40655","39946[42]","98.26","541","224","1240","175","2002746"
"9","Sirsa","9","11","33267","32722[16]","98.36","534[1]","404","1700","41","1850622"
"10","Rohtak","11","166","31644","30927[16]","97.73","534","383","3207","64","1585481"
"11","Yamunanagar","31","242","30462","29766[26]","97.72","454","315","2583","69","1807232"
"12","Bhiwani","10","133","26306","25511[49]","96.98","662","193","1790","97","1673378"
"13","Kurukshetra","9","82","26744","26271[24]","98.23","391[1]","1118","1334","71","1409752"
"14","Mahindergarh","8","77","24565","24325[13]","99.02","163","480","1646","89","1313547"
"15","Jind","7","41","24289","23707[19]","97.60","541","446","1670","26","1610462"
"16","Rewari","24","130","24476","24122[23]","98.55","224","233","1132","140","1485354"
"17","Jhajjar","18","75","23171","22752[17]","98.19","338","282","1822","88","1502237"
"18","Fatehabad","10","48","20002","19456[13]","97.27","498[1]","183","645","22","1167598"
"19","Kaithal","1","56","14173","13748[13]","97.00","369","289","3623","34","1625187"
"20","Palwal","84","113","13026","12760[105]","97.96","153","666","1794","17","1434459"
"21","Charkhi Dadri","16","86","7283","7053[28]","96.84","144[1]","88","594","56","830883"
"22","Nuh","7","20","6037","5883[3]","97.45","134","689","2538","15","1191489"
"Haryana","","559","3659","977870","963666 [867]","98.55","10522 [5]","9677","44154","2353","40783474"
