"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","106652","5278","99175","2199"
"2","SAS Nagar","91155","7146","82896","1113"
"3","Jalandhar","75836","3290","71005","1541"
"4","Patiala","61298","1229","58639","1430"
"5","Amritsar","57525","2901","52978","1646"
"6","Bathinda","49239","2219","45952","1068"
"7","Hoshiarpur","38837","2937","34864","1036"
"8","Gurdaspur","26220","976","24403","841"
"9","Pathankot","23526","727","22344","455"
"10","Fazilka","22220","1358","20328","534"
"11","Kapurthala","21203","863","19778","562"
"12","Muktsar","21066","1260","19275","531"
"13","Sangrur","17821","374","16553","894"
"14","Ferozepur","17088","907","15663","518"
"15","Ropar","17016","935","15651","430"
"16","Mansa","17007","513","16107","387"
"17","Faridkot","15994","843","14824","327"
"18","SBS Nagar","13179","544","12242","393"
"19","FG Sahib","11498","369","10781","348"
"20","Moga","10306","816","9250","240"
"21","Tarn Taran","10266","1119","8762","385"
"22","Barnala","7183","337","6595","251"
"","Total","732135","36941","678065","17129"
