"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","62","67","473"
"Kollam","27","10","89"
"Pathanamthitta","30","20","135"
"Alappuzha","15","9","143"
"Kottayam","58","82","541"
"Idukki","23","37","267"
"Ernakulam","100","151","937"
"Thrissur","44","46","204"
"Palakkad","3","3","58"
"Malappuram","17","15","157"
"Kozhikode","35","67","274"
"Wayanad","6","23","87"
"Kannur","12","22","25"
"Kasaragod","6","10","20"
"Total","438","562","3410"
