"S. No","Subject","Number"
"1","Total Number of people vaccinated on 11th Dec","3,58,605"
"2","First Dose on 11th Dec","52,205"
"3","Second Dose on 11th Dec","3,06,400"
"4","Cumulative Vaccination till 11th Dec","9,61,28,496"
"5","Cumulative Vaccination First Dose","6,38,33,541"
"6","Cumulative Vaccination Second Dose","3,22,94,955"
"7","Number of CVC (Common Vaccination Centres)","4,948"
"8","Cumulative AEFI cases reported","5,867"
"9","Vaccine wastage","-7%"
