"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","167","1120340","0","19632"
"2","Thane","10","119976","0","2289"
"3","TMC","34","198664","0","2173"
"4","Navi Mumbai","30","175843","0","2093"
"5","KDMC","12","178786","0","2976"
