"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"25","Amravati","106346","104584","1625","137"
"26","Akola","66634","65031","1471","132"
"27","Washim","46673","45769","641","263"
"28","Buldhana","92469","91442","836","191"
"29","Yavatmal","82263","80369","1820","74"
"30","Nagpur","580053","569608","9215","1230"
"31","Wardha","65903","64420","1408","75"
"32","Bhandara","68424","67122","1142","160"
"33","Gondia","45537","44912","587","38"
"34","Chandrapur","99201","97529","1593","79"
"35","Gadchiroli","37160","36400","728","32"
"","Other states/country","144","31","113","0"
"","Total","8020502","7857314","148026","15162"
