District,Recovered,Deceased,Active
बबजनौर,14669,126,2
क्रिरोजाबाद,8586,135,2
हापड़ु,12423,217,2
हरदोई,13408,349,2
कन्नौज,9114,115,2
मऊ,8253,80,2
पीलीभीत,10839,193,2
अमठेी,9830,143,1
इटावा,13640,293,1
फतहेपरु,6679,139,1
हमीरपरु,5137,102,1
हाथरस,2877,43,1
कासगजं,4197,53,1
कौशाम्बी,4356,70,1
लखीमपरु-खीरी,24125,292,1
लललतपरु,12621,128,1
मनैपरुी,9851,182,1
लमर्ाुपरु,10973,116,1
प्रतापगढ़,15875,163,1
श्रावस्ती,4353,35,1
अम्बडेकर नगर,4888,152,0
बादा,10832,161,0
भदोही,7558,163,0
चचत्रकट,7031,79,0
जालौन,11489,202,0
जौनपरु,22350,235,0
कुशीनगर,15390,228,0
महोबा,4182,86,0
सतं कबीर नगर,8064,98,0
लसद्धाथ ुनगर,9275,100,0
सीतापरु,12214,185,0
सलु्तानपरु,14780,138,0
