District,Recovered,Deceased,Active
गौतम बिु नगर,63031,468,244
लखनऊ,236295,2651,206
गाज़ियाबाद,55265,461,198
मरेठ,68594,898,106
मथरुा,19917,402,38
प्रयागराज,77647,1088,38
िाराणसी,84547,971,36
मरुादाबाद,38753,349,32
आगरा,25319,457,29
कानपरु नगर,81041,1905,24
महाराजगजं,12303,140,24
सहारनपरु,32332,420,21
बरेली,43671,377,13
झासी,35904,663,13
अलीगढ,21177,109,11
अमरोहा,16416,203,9
गोरखपरु,58598,848,9
मजुफ्फरनगर,30753,269,9
रामपरु,11679,148,9
शाहजहांपरु,19919,444,9
बाराबकंी,19626,225,8
सोनभद्र,16560,251,8
एटा,9869,99,7
औरैय्या,9889,203,6
बलरामपरु,7356,138,6
देवररया,20008,221,6
बलुदंशहर,19977,244,5
चदंौली,15852,357,5
कानपरु देहात,6088,110,5
राय बरेली,16768,343,5
शामली,12932,45,5
उन्नाव,14765,254,5
अयोध्या,16629,290,4
बागपत,8994,141,4
बललया,21376,234,4
गोंडा,12012,271,4
बदाय,14844,98,3
बस्ती,11388,330,3
फरु्रखाबाद,10155,194,3
गाजीपरु,21369,283,3
सभंल,9332,106,3
आजमगढ़,17678,228,2
बहराइच,11372,178,2
