"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 03-06-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","151","574","274847","273266 [123] ↑","99.42","1007","217","731","2421","5364814"
"2","Faridabad","35","174","129891","128976 [25] ↑","99.30","741","131","549","1037","4045114"
"3","Hisar","5","22","62162","60965 [12] ↑","98.07","1175","226","411","73","2349098"
"4","Sonipat","3","10","58719","58433","99.51","276","14","196","230","2288491"
"5","Karnal","1","5","48265","47664 [1] ↑","98.75","596","86","360","424","2391067"
"6","Panchkula","6","29","44362","43919","99.00","414","47","243","664","1122184"
"7","Ambala","1","6","40814","40266 [2] ↑","98.66","542","121","407","605","2135489"
"8","Panipat","1","4","36114","35438","98.13","672","36","204","164","2054274"
"9","Sirsa","0","5","33413","32869","98.37","539","161","418","236","1935385"
"10  Rohtak","","1","17","31987","31416 [2] ↑","98.21","537","81","260","173","1698127"
"","11  Yamunanagar","1","4","30692","30233","98.50","455","59","889","376","1956874"
"12  Kurukshetra","","0","4","26862","26460","98.50","398","29","439","288","1554800"
"13  Bhiwani","","0","8","26537","25864","97.46","665","49","414","724","1771407"
"","14  Mahendragarh","0","0","24754","24589","99.33","165","71","437","566","1379795"
"15  Rewari","","0","1","24633","24408 [1] ↑","99.09","224","13","80","366","1565766"
"16","Jind","0","0","24359","23817","97.77","542","19","142","59","1716884"
"17","Jhajjar","8","14","23521","23151","98.43","350","39","135","259","1577040"
"18  Fatehabad","","6","8","20079","19573","97.48","498","9","22","18","1192969"
"19  Kaithal","","3","3","14248","13874 [1] ↑","97.38","371","139","636","436","1764458"
"20  Palwal","","1","3","13507","13334","98.72","170","61","200","76","1537789"
"","21  Charkhi Dadri","0","0","7457","7312 [1] ↑","98.06","145","7","40","702","895876"
"22  Nuh","","3","4","6119","5976","97.66","139","6","21","116","1221793"
"HARYANA","","226","895","1003342","991803 [168] ↑","98.85","10621","1621","7234","10013","43519494"
