"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109660","69","107318","2273"
"2","SAS Nagar","95548","160","94244","1144"
"3","Jalandhar","78168","93","76499","1576"
"4","Patiala","61969","29","60483","1457"
"5","Amritsar","59344","35","57628","1681"
"6","Bathinda","50797","28","49681","1088"
"7","Hoshiarpur","40755","73","39590","1092"
"8","Gurdaspur","26905","28","26015","862"
"9","Pathankot","24479","66","23921","492"
"10","Fazilka","23318","27","22747","544"
"11","Muktsar","22526","13","21975","538"
"12","Kapurthala","21992","30","21383","579"
"13","Ropar","17919","20","17444","455"
"14","Ferozepur","17864","20","17313","531"
"15","Mansa","17224","3","16829","392"
"16","Faridkot","16708","20","16350","338"
"17","Sangrur","14304","3","13566","735"
"18","SBS Nagar","13384","10","12969","405"
"19","FG Sahib","11822","10","11458","354"
"20","Moga","10974","5","10715","254"
"21","Tarn Taran","10877","22","10461","394"
"22","Barnala","7478","21","7115","342"
"23","Malerkotla","3965","2","3787","176"
"","Total","757980","787","739491","17702"
