"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","235","1118108","0","19624"
"2","Thane","10","119862","0","2289"
"3","TMC","46","198289","0","2171"
"4","Navi Mumbai","57","175425","0","2090"
"5","KDMC","11","178648","0","2975"
"6","Ulhasnagar MC","1","26908","0","681"
"7","Bhivandi Nijampur MC","0","13291","0","496"
"8","Mira Bhayandar MC","4","78737","0","1227"
"9","Palghar","4","65228","0","1244"
"10","Vasai Virar MC","19","101354","0","2171"
"11","Raigad","33","141775","0","3472"
"12","Panvel MC","23","109561","0","1482"
"","Mumbai circle total","443","2327186","0","39922"
"13","Nashik","111","184364","1","3816"
