"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227699","221613","5884","202"
"12","Nashik","474526","465192","8913","421"
"13","Ahmednagar","378371","370822","7245","304"
"14","Jalgaon","149841","147004","2762","75"
"15","Nandurbar","46679","45690","963","26"
"16","Dhule","50962","50193","670","99"
"17","Aurangabad","177418","172761","4288","369"
"18","Jalna","66805","65227","1224","354"
"19","Beed","109328","106410","2885","33"
"20","Latur","105282","102665","2489","128"
"21","Parbhani","58630","57337","1279","14"
"22","Hingoli","22246","21703","514","29"
"23","Nanded","102823","100095","2704","24"
"24","Osmanabad","75480","73211","2139","130"
"25","Amravati","106188","104481","1624","83"
"26","Akola","66503","64895","1470","138"
"27","Washim","46398","45456","641","301"
"28","Buldhana","92294","91288","836","170"
"29","Yavatmal","82184","80301","1820","63"
"30","Nagpur","578829","568809","9215","805"
"31","Wardha","65827","64372","1408","47"
"32","Bhandara","68238","67006","1142","90"
"33","Gondia","45493","44890","587","16"
"34","Chandrapur","99117","97439","1592","86"
