"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","411","218","232030","0","12229","244259","930"
"Bageshwar","328","591","205722","0","5766","211488","479"
"Chamoli","305","286","285394","0","12249","297643","446"
"Champawat","1173","154","239797","0","7613","247410","1673"
"Dehradun","1970","2043","1884205","5","112591","1996796","502"
"Haridwar","5227","4039","2112087","0","51561","2163648","1857"
"Nainital","1775","1278","545721","0","39320","585041","743"
"Pauri Garhwal","825","1366","390045","3","17730","407775","304"
"Pithoragarh","605","838","216380","2","10269","226649","1005"
"Rudraprayag","431","363","192418","0","8803","201221","863"
"Tehri Garhwal","292","335","297767","0","15840","313607","642"
"US Nagar","2004","1438","907637","0","37889","945526","842"
"Uttarkashi","384","425","335722","0","12561","348283","805"
"Total","15730","13374","7844925","10","344421","8189346","11091"
