"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,611"
"2","Number of persons tested positive today in Tamil Nadu","647"
"","Passengers returned from other countries / states  by 
Road tested positive today","Bangladesh – 1 
Bihar - 1"
"","Total","649"
"3","Total Number of persons tested positive till date","27,36,695"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,03,889/ 
5,57,00,000@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,03,657/ 
5,47,64,179"
"6","No. of Male / Female / Transgender tested positive today","369/280/0"
"7","No. of Male / Female / Transgender tested positive till date","15,97,408/11,39,249/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","315 (69 Govt+ 
246 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","695/ 
26,92,451"
"10","Total number of deaths today/ till date","9(3 Private &  
6 Govt) /36,633)"
