"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","282","670","228452","0","12221","240673","534"
"Bageshwar","283","190","201515","0","5764","207279","856"
"Chamoli","768","597","280147","0","12247","292394","1024"
"Champawat","636","692","232540","2","7607","240147","913"
"Dehradun","2867","2483","1860043","8","112546","1972589","1315"
"Haridwar","2363","2888","2076093","0","51535","2127628","586"
"Nainital","1517","1407","533661","9","39268","572929","709"
"Pauri Garhwal","728","543","379286","7","17716","397002","942"
"Pithoragarh","472","405","211700","0","10265","221965","548"
"Rudraprayag","437","230","187980","0","8801","196781","797"
"Tehri Garhwal","378","254","293822","2","15840","309662","510"
"US Nagar","1417","919","890387","0","37885","928272","2293"
"Uttarkashi","288","337","332395","0","12560","344955","500"
"Total","12436","11615","7708021","28","344255","8052276","11527"
