"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,98,130"
"2","Number of persons tested positive today in Tamil Nadu","19,276"
"","Passengers returned from other countries  by 
International airport tested positive today","Saudi Arabia – 2 
Sri Lanka - 2"
"","Total","19,280"
"3","Total Number of persons tested positive till date","33,45,220"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,30,457/ 
6,17,54,673@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,22,105/ 
6,06,79,827"
"6","No. of Male / Female / Transgender tested positive today","11,481/7,799/0"
"7","No. of Male / Female / Transgender tested positive till date","19,51,527/13,93,655/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","331 (69 Govt+ 
262$Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","25,056/ 
31,09,526"
"10","Total number of deaths today/ till date","20(7 Private &  
13 Govt) /37,564"
