"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2181","112657","1910","109399","25","3004","254"
"2","SAS Nagar","3780","99469","3116","97649","13","1161","659"
"3","Jalandhar","1804","80069","1363","77701","8","1948","420"
"4","Patiala","1435","63515","1212","61595","4","1715","205"
"5","Amritsar","795","60350","638","58346","3","1843","161"
"6","Bathinda","987","51854","756","50199","1","1424","231"
"7","Hoshiarpur","695","41837","467","40199","8","1408","230"
"8","Gurdaspur","224","27151","163","26236","3","867","48"
"9","Pathankot","382","24884","311","24326","1","518","40"
"10","Fazilka","276","23708","235","23038","0","621","49"
"11","Muktsar","132","22684","111","22121","0","539","24"
"12","Kapurthala","336","22365","244","21686","1","593","86"
"13","Ropar","620","18558","431","17914","3","458","186"
"14","Ferozepur","298","18191","203","17563","2","539","89"
"15","Mansa","148","17373","132","16968","1","393","12"
"16","Faridkot","277","17112","228","16649","3","413","50"
"17","Sangrur","213","14647","196","13769","2","862","16"
"18","SBS Nagar","270","13672","197","13185","0","409","78"
"19","FG Sahib","453","12368","394","11874","1","437","57"
"20","Moga","121","11120","83","10814","3","269","37"
"21","Tarn Taran","85","10985","56","10561","1","399","25"
"22","Barnala","127","7627","113","7251","1","358","18"
"23","Malerkotla","46","4050","37","3828","2","214","8"
"","Total","15685","776246","12596","752871","86","20392","2983"
