"","","","","","","","","","","","reasons#"
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid",""
"","1","Bagalakote","82","35620","31","34897","390","0","333","0",""
"","2","Ballari","560","100651","75","96281","2681","0","1689","0",""
"","3","Belagavi","294","82744","122","79470","2325","0","949","0",""
"","4","Bengaluru Rural","538","65704","68","61599","3210","0","895","0",""
"","5","Bengaluru Urban","15947","1432754","4888","1259041","157254","5","16458","1",""
"","6","Bidar","75","25259","0","24045","806","0","404","4",""
"","7","Chamarajanagara","101","34027","78","32750","762","0","504","11",""
"","8","Chikkaballapura","209","45602","17","43658","1507","1","436","1",""
"","9","Chikkamagaluru","236","52625","44","51259","968","0","398","0",""
"","10","Chitradurga","178","37758","30","36644","901","1","213","0",""
"","11","Dakshina 
Kannada","490","122247","317","116355","4181","3","1704","7",""
"","12","Davanagere","121","52119","79","50606","905","0","608","0",""
"","13","Dharwada","784","65321","110","60844","3149","1","1326","2",""
"","14","Gadag","71","26708","18","25832","557","0","319","0",""
"","15","Hassana","1050","117894","2","111559","5069","0","1264","2",""
"","16","Haveri","27","22134","10","21336","155","0","643","0",""
"","17","Kalaburagi","479","64780","21","61635","2317","1","828","0",""
"","18","Kodagu","137","38672","35","37515","818","0","338","1",""
"","19","Kolara","463","50308","320","47209","2455","0","644","0",""
"","20","Koppala","89","35637","35","34751","358","0","528","0",""
"","21","Mandya","917","78893","474","74913","3321","0","659","0",""
"","22","Mysuru","1770","188614","232","179038","7141","0","2435","0",""
"","23","Raichuru","140","40820","4","39681","806","0","333","0",""
"","24","Ramanagara","96","25308","43","24017","965","1","326","0",""
"","25","Shivamogga","364","71993","174","68887","2016","0","1090","0",""
"","26","Tumakuru","1147","128034","126","120511","6377","1","1146","0",""
"","27","Udupi","442","81535","239","77449","3595","0","491","0",""
"","28","Uttara Kannada","203","58743","197","56319","1645","0","779","0",""
"","29","Vijayapura","128","37015","27","35980","539","0","496","0",""
"","30","Yadagiri","18","27688","11","27358","124","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","27156","3247243","7827","2991472","217297","14","38445","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 17-01-2022 
 Page 5 of 21","","","","","","","","","",""
"","","","","","","","","","","",""
